# Adjusted and given namespace
evt_CK2_209_desc_a;They declined our gift!;Notre présent a été refusé !;Sie haben unser Geschenk abgelehnt!;;¡Han rechazado nuestro obsequio!;;;;;;;;;x
bear.1.a;I shall request that [bear_character.GetFirstName] relocate.;Je vais lui demander de s'installer ailleurs.;Ich verlange, dass [bear_character.GetFirstName] umzieht.;;Pediré que se instale en otro lugar.;;;;;;;;;x
bear.1.b;It would be rude to insist.;Ce serait impoli d'insister.;Es wäre unhöflich, darauf zu bestehen.;;Sería descortés insistir.;;;;;;;;;x
bear.1.desc;I really must request that my [bear_character.GetRootRelation] [bear_character.GetFirstName] take up quarters not immediately adjacent to my own. I love [bear_character.GetHerHim] dearly, but the sheer volume of [bear_character.GetHerHis] snoring is becoming quite unbearable.;Je dois vraiment demander à m[bear_character.GetOnA] [bear_character.GetRootRelation] [bear_character.GetFirstName] de prendre ses appartements loin des miens. Je l'adore, mais l'intensité sonore de ses ronflements devient insupportable.;Ich muss wirklich verlangen, dass m[bear_character.Geteineine] [bear_character.GetRootRelation] [bear_character.GetFirstName] [bear_character.GetHerHis] Quartier nicht direkt neben meinem hat. Ich liebe [bear_character.GetHerHim] sehr, aber die Lautstärke [bear_character.GetHerHis]es Schnarchens wird immer unerträglicher.;;Debo solicitar que mi [bear_character.GetRootRelation] [bear_character.GetFirstName] no se instale junto a mis aposentos. Le aprecio profundamente, pero el volumen de sus ronquidos es insoportable.;;;;;;;;;x
bear.1.title;Troubled Sleep;Sommeil troublé;Unruhiger Schlaf;;Problemas de sueño;;;;;;;;;x
bear.2.a;Good thing it doesn't run in the family.;Une bonne chose que ce ne soit pas un trait de famille.;Gut, dass sich das nicht in der Familie verteilt.;;Menos mal que no es cosa de familia.;;;;;;;;;x
bear.2.b;Well, it must be practical in the winter season.;Eh bien, ce doit être pratique en hiver.;Nun, es muss wohl im Winter praktisch sein.;;Seguro que en invierno le resulta práctico.;;;;;;;;;x
bear.2.desc;I brushed past [bear_character.GetFirstName] on my way to the royal stables this afternoon. Though it was an impolite thought, the close contact left me struck with just how hirsute my [bear_character.GetRootRelation]'s figure is.;J'ai frôlé [bear_character.GetFirstName] en allant aux écuries royales cet après-midi. Bien que ce soit une pensée impolie, j'ai été frappé de constater à quel point m[bear_character.GetOnA] [bear_character.GetRootRelation] est poilu[bear_character.Get_E].;Ich streifte heute Nachmittag [bear_character.GetFirstName] auf meinem Weg zum königlichen Stall. Obwohl es ein unhöflicher Gedanke war, stellte sich mir nach dem engen Kontakt die Frage, wie behaart m[bear_character.Geteineine] [bear_character.GetRootRelation] ist.;;Pasé al lado de [bear_character.GetFirstName] esta mañana cuando iba camino a los establos reales. Aunque es un pensamiento maleducado, el contacto cercano hizo que me diera cuenta de lo peluda que es la figura de mi [bear_character.GetRootRelation];;;;;;;;;x
bear.2.title;A Hairy Situation;Une situation sensible;Eine haarige Angelegenheit;;Una situación peliaguda.;;;;;;;;;x
bear.3.a;I will seek [Root.Spouse.GetFirstName]'s company instead.;Je vais chercher la compagnie de [Root.Spouse.GetFirstName] à la place.;Ich suche stattdessen die Nähe zu [Root.Spouse.GetFirstName].;;Buscaré mejor la compañía de [Root.Spouse.GetFirstName].;;;;;;;;;x
bear.3.b;I will seek [family_member.GetFirstName]'s company instead.;Je vais chercher la compagnie de [family_member.GetFirstName] à la place.;Ich suche stattdessen die Nähe zu [family_member.GetFirstName].;;Buscaré mejor la compañía de [family_member.GetFirstName].;;;;;;;;;x
bear.3.c;I will seek the clergy's council instead.;Je vais chercher le conseil du clergé à la place.;Ich werde stattdessen den Klerus ersuchen.;;Buscaré mejor al clérigo del consejo.;;;;;;;;;x
bear.3.desc;[bear_character.GetFirstName] is known to be a [bear_character.GetManWoman] of few words. No words, in fact. They say silence is golden, but sometimes a [Root.GetManWoman] finds [Root.GetHerselfHimself] in dire need of a good conversation!;[bear_character.GetFirstName] est connu[bear_character.Get_E] pour être un[bear_character.Get_E] [bear_character.GetManWoman] qui parle peu. En fait, [bear_character.GetIlElle] ne dit pas un mot. On dit que le silence est d'or, mais parfois un[Root.Get_E] [Root.GetManWoman] se retrouve dans la situation d'avoir besoin d'une bonne conversation !;[bear_character.GetFirstName] ist bekannt dafür, [bear_character.Geteineine] [bear_character.GetManWoman] weniger Worte zu sein. Um genau zu sein keiner Worte. Man sagt, Schweigen ist Gold, aber manchmal muss [Root.Geteineine] [Root.GetManWoman] auch eine gute Konversation führen.;;Sabemos que [bear_character.GetFirstName] es [Root.GetManWoman] de pocas palabras. De hecho, ninguna. Dicen que el silencio es oro, pero a veces uno necesita conversar un poco.;;;;;;;;;x
bear.3.title;Tongue-Tied;Timide;Sprachlos;;Lengua trabada;;;;;;;;;x
bear.4.a;I trust my Marshal to find the thief.;Je me fie à mon maréchal pour trouver le voleur.;Ich vertraue meinem Marschall die Angelegenheit an.;;Confío en que mi jefe de policía descubra al ladrón.;;;;;;;;;x
bear.4.b;I trust my Spymaster to get to the bottom of this.;Je me fie à mon maître-espion pour faire toute la lumière sur cette histoire.;Mein Hofspitzel wird der Sache auf den Grund gehen.;;Confío en que mi jefe de espías llegue al fondo de esto.;;;;;;;;;x
bear.4.c;Sin is its own punishment.;Le péché est en soi une punition.;Sünde ist Bestrafung genug.;;En el pecado está la penitencia.;;;;;;;;;x
bear.4.desc;A mysterious honey-thief has been terrorizing the court of late. At seemingly random intervals, all of the honey in our royal kitchen will go missing, often with the pantry cupboards left open and the jars smashed. Thus far, no one has been able to determine the identity of this syrup stealer.;Un mystérieux voleur de miel a troublé la cour dernièrement. À des intervalles apparemment aléatoires, tout le miel de notre cuisine royale disparaît, souvent avec les placards du garde-manger laissés ouverts et les pots cassés. Jusqu'à présent, personne n'a pu déterminer l'identité de ce voleur de sirop.;Ein mysteriöser Honig-Dieb hat in letzter Zeit den Hof terrorisiert. In scheinbar zufälligen Intervallen verschwindet der gesamte Honig unserer königlichen Küche, oft mit offen gelassenen Schränken und zerschlagenen Gläsern. Bisher konnte niemand die Identität dieses Sirupstehlers ausmachen.;;Un misterioso ladrón de miel ha estado aterrorizando la corte en estos últimos días. Toda la miel de las cocinas reales ha estado desapareciendo misteriosamente, a veces con las alacenas abiertas y las jarras rotas. Hasta el momento, nadie ha podido descubrir la identidad de este sisador de sirope.;;;;;;;;;x
bear.4.title;Sweet Thief;Mystérieux voleur;Süßer Dieb;;Ladrón dulce;;;;;;;;;x
bear.5.a;We all have our flaws.;On a tous nos défauts.;Wir haben alle unsere Problemchen.;;Todos tenemos nuestros fallos.;;;;;;;;;x
bear.5.b;Some might call it stately.;Certains pourraient le trouver majestueux.;Manche würden dazu "stattlich" sagen.;;Algunos dirían que es majestuosa.;;;;;;;;;x
bear.5.desc;[bear_character.GetFirstName] sat for a portrait this week. The colours are quite vivid, but poor [bear_character.GetFirstName]'s nose came out distractingly prominent in the likeness. I had a mind to complain to the painter about their lack of proportion, but [bear_character.GetFirstName] does have a rather unusually generous nose, come to think of it.;[bear_character.GetFirstName] a pris la pause pour un portrait cette semaine. Les couleurs étaient assez vives, mais le nez de [bear_character.GetFirstName] apparaissait étonnamment proéminent. J'avais l'intention de me plaindre au peintre quant à ce manque de proportion, mais il est vrai que [bear_character.GetFirstName] a un nez assez généreux, après réflexion.;Von [bear_character.GetFirstName] wurde diese Woche ein Porträt gemacht. Die Farben sind sehr lebendig, aber die Nase sticht ein wenig zu viel hervor. Ich wollte mich eigentlich beim Zeichner beschweren, aber wenn man so darüber nachdenkt, hat [bear_character.GetFirstName] wirklich eine ziemlich ungewöhnliche Nase.;;Esta semana [bear_character.GetFirstName] ha estado posando para un retrato. Los colores son vividos, pero su nariz resulta molestamente prominente. Iba a quejare al pintor por la falta de proporciones, pero ahora que lo pienso, [bear_character.GetFirstName] tiene una nariz inusualmente generosa.;;;;;;;;;x
bear.5.title;Poignant Portraitry;Portait émouvant;Bärträtierung;;Retrato resultón;;;;;;;;;x
bear.6.a;Is this the work of a foul sorcerer?;Est-ce l'oeuvre d'un ignoble sorcier ?;Ist dies das Werk eines faulen Zaubers?;;¿Será obra de un hechicero malvado?;;;;;;;;;x
bear.6.b;Has [bear_character.GetSheHe] always been a bear?;A-t-[bear_character.GetIlElle] toujours été un[bear_character.Get_E] ours[bear_character.Get_E] ?;War [bear_character.GetSheHe] schon immer ein Bär?;;¿Fue siempre un oso?;;;;;;;;;x
bear.6.c;We need a tailor capable of beclothing the ursine form.;Nous avons besoin d'un tailleur capable d'habiller un gabarit d'ours.;Wir brauchen einen Schneider, der die bärenartige Form verkleiden kann.;;Necesitamos un sastre que sepa vestir las formas osunas.;;;;;;;;;x
bear.6.d;This explains all that missing honey...;Ça explique le miel qui a disparu...;Das erklärt den fehlenden Honig...;;Eso explica la miel desaparecida…;;;;;;;;;x
bear.6.desc;At the latest banquet, after polishing off four pots of stew, three whole trout, and an entire shank of lamb, [bear_character.GetFirstName] was, as is [bear_character.GetHerHis] wont, trundling off to [bear_character.GetHerHis] chambers to retire - when [bear_character.GetHerHis] vestments caught on the raw edge of a table! Before a courtier could come to [bear_character.GetHerHis] assistance, the cloth was torn open, ripping straight up to the collar and leaving poor [bear_character.GetFirstName] utterly exposed before the entire hall!\nIf that wasn't scandal enough, the party-goers were struck mute with an astonishing realization: [bear_character.GetFirstName] was most irrefutably not a [bear_character.GetManWoman] at all... but a bear.;Au dernier banquet, après avoir fini quatre marmites de ragoût, trois truites et un jarret d'agneau, [bear_character.GetFirstName], comme à son habitude, a voulu se retirer dans ses appartements - mais ses habits sont restés accrochés au bord de la table ! Avant qu'un courtisan puisse lui venir en aide, ses vêtements se sont déchirés jusqu'au cou, [bear_character.GetLeLa] laissant entièrement nu[bear_character.Get_E] devant tous les invités !\nComme si ce n'était pas assez scandaleux, les invités étaient médusés, réalisant que [bear_character.GetFirstName] n'était clairement pas un[bear_character.Get_E] [bear_character.GetManWoman], mais... un[bear_character.Get_E] ours[bear_character.Get_E].;Im Anschluss ans letzte Bankett, nach dem Verspeisen vier Töpfen Eintopfs, drei ganzen Forellen und einem kompletten Lammschenkel, wollte [bear_character.GetFirstName] wie [bear_character.GetSheHe] es gewohnt war, zu [bear_character.GetHerHis]er Kammer schlendern, um sich zurückzuziehen. Leider blieb ein Stück [bear_character.GetHerHis]es Gewands am Tischrand hängen! Bevor ein Höfling zur Hilfe eilen konnte, war das Tuch bereits bis zum Kragen gerissen und ließ den armen [bear_character.GetFirstName] komplett entblößt zurück!\nWenn das nicht schon Skandal genug wäre, hat es der Festgemeinschaft auch noch die Sprache verschlagen, als sie zur Erkenntnis kamen, dass [bear_character.GetFirstName] unwiderlegbar k[bear_character.Geteineine] [bear_character.GetManWoman] war... sondern ein Bär.;;En el último banquete, tras acabar con cuatro ollas de estofado, tres truchas y una pata de cordero entera, [bear_character.GetFirstName] caminaba lentamente a sus aposentos, como tenía por costumbre, ¡cuando sus ropas acabaron atrapadas con el borde de la mesa! Antes de que un cortesano pudiera ayudarle, las ropas de [bear_character.GetFirstName] se rasgaron desde el cuello, quedando en evidencia ante todo el salón.\nPor si no fuera suficiente escándalo, los asistentes al banquete enmudecieron al darse cuenta de algo increíble: [bear_character.GetFirstName] no era ni hombre, ni mujer… ¡sino un oso!;;;;;;;;;x
bear.6.e;It's going to eat me! Unless I eat it first...;[bear_character.GetIlElleCap] va me manger ! À moins que je [bear_character.GetLeLa] mange d'abord...;Er wird mich essen! Es sei denn, ich esse ihn zuerst!;;¡Me comerá, si no lo hago yo antes!;;;;;;;;;x
bear.6.f;Shoot it and mount its head on a wall.;[bear_character.GetLeLaCap] tuer et accrocher sa tête sur un mur.;Erschießt ihn und hängt seinen Kopf an eine Wand.;;Disparadle y pondré su cabeza en la pared.;;;;;;;;;x
bear.6.title;Bearly Legal;Un scandale;Ein Bärenfest!;;Osadamente legal;;;;;;;;;xx
bear.6.undo;This is unbearable!;Remboursez !;Das ist nicht erbärlich!;;Esto es insoportable;;;;;;;;;x
EVOPTA938;They wounded me!;Ils m'ont blessé[Root.Get_E] !;Sie verwundeten mich!;;¡Me han herido!;;;;;;;;;x
EVOPTA20330;Let [From.GetHerHim] rot in jail!;Qu'on le jette en prison !;[From.GetSheHeCap] soll im Kerker verrotten!;;¡Metedle en prisión y que se pudra!;;;;;;;;;x
EVOPTB938;They maimed me!;Ils m'ont estropié[Root.Get_E] !;Sie verstümmelten mich!;;¡Me han lisiado!;;;;;;;;;x
EVOPTB20330;What is done is done. Let [From.GetHerHim] go.;Ce qui est fait est fait. Laissez-le partir.;Was geschehen ist, ist geschehen. Lasst [From.GetHerHim] frei.;;Lo hecho hecho está. Dejadle marchar.;;;;;;;;;x
EVT527_TOOLTIP;§Y[From.GetTitledFirstName]§! takes a place on your council.;[From.Get_Le_TitledFirstNameJ] intègre votre Conseil.;§Y[From.GetTitledFirstName]§! erhält einen Platz in Eurem Rat.;;§Y[From.GetTitledFirstName]§! toma un puesto en tu Consejo.;;;;;;;x
evt_261_desc_a;A noble has distinguished himself in this battle. Perhaps I can make use of him...;Un noble s'est distingué au cours de cette bataille. Il pourrait peut-être me servir...;Ein Edelmann hat sich in dieser Schlacht bewährt. Vielleicht kann er mir noch nützlich sein ...;;Un noble ha destacado en esta batalla. Quizá pueda servirme...;;;;;;;;;x
evt_304_desc_a;[FromFrom.Mother.GetFirstName] has borne the child of another man! I cannot believe this betrayal!;[FromFrom.Mother.GetFirstName] a donné naissance à un enfant d'un autre homme ! Je ne peux croire à cette trahison !;[FromFrom.Mother.GetFirstName] hat das Kind eines anderen Mannes geboren! Ich kann diesen Verrat nicht fassen!;;[FromFrom.Mother.GetFirstName] ha dado a luz al bebé de otro hombre! No puedo creer esta traición!;;;;;;;;;x
evt_400_desc_a;I am surely with child... my husband will be pleased.;Je crois que j'attends un enfant... Mon mari va être ravi.;Ich bin definitiv schwanger ... Mein Gatte wird erfreut sein.;;Seguramente estoy encinta... Mi esposo estará complacido.;;;;;;;;;x
evt_534_desc_b;The [From.Religion.GetCrusadeName] for [Root.GetBaseName] against [New.GetTitledName] has come to an end as [New.GetSheHe] has been overthrown. The [From.Religion.GetGroupName] faithful will be disappointed.;La [From.Religion.GetCrusadeName] pour [Root.GetBaseName] contre [New.Get_le_TitledName] a pris fin puisqu'[New.GetIlElle] a été renversé[New.Get_E]. Les fidèles [From.Religion.GetGroupName]s seront déçus.;Der [From.Religion.GetCrusadeName] für [Root.GetBaseName] gegen [New.GetTitledName] hat geendet, da [New.GetSheHe] bezwungen wurde. Die Anhänger der [From.Religion.GetGroupName] werden enttäuscht sein.;;El [From.Religion.GetCrusadeName] por [Root.GetBaseName] contra [New.GetTitledName] ha resultado en la conversión de [New.GetTitledName] al [From.Religion.GetName]. ¡[From.Religion.GetRandomGodNameCap] estará satisfecho!;;;;;;;x
evt_534_NAME;The [From.Religion.GetCrusadeName] for [Root.GetBaseName];La [From.Religion.GetCrusadeName] pour [Root.GetBaseName];Der [From.Religion.GetCrusadeName] um [Root.GetBaseName];;[From.Religion.GetCrusadeName] por [Root.GetBaseName];;;;;;;;;x
evt_534_opt_a;Praise [From.Religion.GetRandomGodName]!;Louons [From.Get_le_HighGod] !;Gepriesen sei [From.Religion.GetRandomGodName]!;;¡Alabemos a [From.Religion.GetRandomGodName]!;;;;;;;;;x
evt_534_opt_b;Cursed infidels!;Maudits infidèles !;Verfluchte Ungläubige!;;¡Malditos infieles!;;;;;x
evt_534_opt_c;Cursed Infidels!;Mort aux infidèles !;Verfluchte Ungläubige!;;¡Malditos infieles!;;;;;;;;;x
evt_39810_TT;The Order of Saint Anthony is formed;L'Ordre de Saint Antoine est formé;Der Orden des Heiligen Antonius wurde gegründet;;Se forma la Orden de San Antonio;;;;;;;;;x
evt_39811_TT;The Order of Saint Addai is formed;L'ordre de saint Addaï est formé;Der Orden des Heiligen Thaddeus wurde gegründet;;Se forma la Orden de San Addai;;;;;;;;;x
burned_government_documents;Government Documents Burned;;;;;;;;x
sufist1desc;You sit down in a dark chamber, lit only by a single candle, with the air made even dimmer by incense smoke. You place the ritualistic herbs in a small cup and light them with the candle's flame. The smell soon fills the room, strong and pungent, yet invigorating. Soon, you find yourself in what can only be described as communion with Allah.;;;;;;;;x
sufist1opta;May god show me the way.;;;;;;;;x
sufist11desc;You arise from the Muraqabah and feel better than you did before, you have been guided by god.;;;;;;;;x
sufist11opta;I have seen the light!;;;;;;;;x
sufist12desc;You arise from the Muraqabah and feel better than you ever have before, truly you have been guided into the light of god.;;;;;;;;x
sufist12opta;Truly, I have seen the light!;;;;;;;;x
sufist13desc;You awaken hours, or maybe days later in a pool of your own piss, you feel worse than you ever have before and the voices wont stop!;;;;;;;;x
sufist13opta;God has forsaken me!;;;;;;;;x
practice_muraqbah;Practice Muraqabah;;;;;;;;x
arbitrary_opinion;Arbitrary Opinion;;;;;;;;x
cynical_opinion;Cynical Opinion;;;;;;;;x
hedonist_opinion;Hedonist Opinion;;;;;;;;x
practice_muraqbah_desc;it is only right you try to spiritually align yourself with god's light and feel his divine presence.;;;;;;;;x
evt_TITLE_LT_20010;The Lost Book;Le livre perdu;Das verlorene Buch;;El libro perdido;;;;;;;;x
evt_TITLE_LT_20011;Search Ended;Recherche terminée;Suche beendet;;Búsqueda terminada;;;;;;;;;x
evt_TITLE_LT_20020;The Lost Book;Le livre perdu;Das verlorene Buch;;El libro perdido;;;;;;;;x
evt_TITLE_LT_20030;A Lost and Expensive Book;Un livre perdu et cher;Ein verlorenes und teures Buch;;Un libro perdido y caro;;;;;;;;x
evt_TITLE_LT_20035;The Lost Book;Le livre perdu;Das verlorene Buch;;El libro perdido;;;;;;;;x
evt_TITLE_LT_20036;The Lost Book;Le livre perdu;Das verlorene Buch;;El libro perdido;;;;;;;;x
evt_TITLE_LT_20040;The Lost Book!;Le livre perdu !;Das verlorene Buch;;¡El libro perdido!;;;;;;;;x
evt_TITLE_LT_20050;The Lost Book is a Fake!;Le livre perdu est un faux !;Das verlorene Buch ist eine Fläschung!;;¡El libro perdido es falso!;;;;;;;;x
evt_TITLE_LT_20055;This book seems to be a forgery!;Ce livre semble être un faux !;Dieses Buch scheint eine Fälschung zu sein;;¡Este libro parece una falsificación!;;;;;;;;x
evt_TITLE_LT_20060;The Lost Book;Le livre perdu;Das verlorene Buch;;El libro perdido;;;;;;;;x
evt_TITLE_LT_20101;A Discovery;Une découverte;Eine Entdeckung;;Un descubrimiento;;;;;;;;x
evt_TITLE_LT_20510;Honor the Dead;Honorer les morts;Ehre den Toten;;Honrar a los muertos;;;;;;;;;x
evt_TITLE_LT_20700;The [target_upgrade.GetName] are Done!;Les [target_upgrade.GetName] sont terminées !;Bau des [target_upgrade.GetName] abgeschlossen!;;¡El/La [target_upgrade.GetName] está terminado!;;;;;;;;;x
evt_TITLE_LT_20820;Great Work Looted;Grand ouvrage pillé;Großes Bauwerk geplündert;;Gran obra saqueada;;;;;;;;;x
evt_TITLE_LT_60001;A Town is Born;Une ville est née;Eine Stadt ist geboren;;Nace una ciudad;;;;;;;;x
evt_TITLE_LT_60101;[target_wonder.GetName];[target_wonder.GetName];[target_wonder.GetName];;[target_wonder.GetName];;;;;;;;x
evt_TITLE_LT_60201;Fountain of Youth;Fontaine de jeunesse;Jungbrunnen;;Fuente de la juventud;;;;;x
evt_TITLE_LT_60301;Evening at the Tavern;Un soir à l'auberge;Ein Abend in der Taverne;;Tarde en la taberna;;;;;;;;;x
evt_TITLE_LT_60302;Another!;Un autre !;Noch eins!;;¡Otra!;;;;;;;;;x
evt_TITLE_LT_60401;Deadly Traps;Pièges mortels;Tödliche Fallen;;Trampas mortales;;;;;;;;;x
evt_TITLE_LT_60601;Crumbling Masterwork;Chef d’œuvre tombant en ruines;Zerbröckelndes Meisterwerk;;Obra maestra derrumbándose;;;;;;;;;x
evt_TITLE_LT_60701;Herbs in the [target_province.GetName];Herbes de [target_province.GetName];Kräuter aus [target_province.GetName];;Hierbas en [target_province.GetName];;;;;;;;;x
evt_TITLE_LT_61006;By Any Other Name;Par un autre nom;Ein anderer Name;;Por cualquier otro nombre;;;;;;;;;x
evt_TITLE_LT_61008;Time to Go;Il est temps de partir;Zeit zu gehen;;Hora de irse;;;;;;;;;x
b_seinajoki;Seinajoki;;;;;;;;x
b_vihti;Vihti;;;;;;;;x
c_vaasa_adj;Vaasan;;;;;;;;x
b_vaasa;Vaasa;;;;;;;;x
b_narpes;Narpes;;;;;;;;x
b_korsnas;Korsnas;;;;;;;;x
b_kaskinen;Kaskinen;;;;;;;;x
b_kristinestad;Kristinestad;;;;;;;;x
b_lappfjard;Lappfjard;;;;;;;;x
b_laihia;Laihia;;;;;;;;x
b_malax;Malax;;;;;;;;x
c_lofoten_adj;Lofotenian;;;;;;;;x
b_reine;Reine;;;;;;;;x
b_leknes;Leknes;;;;;;;;x
b_svolvaer;Svolvaer;;;;;;;;x
b_stokmarknes;Stokmarknes;;;;;;;;x
b_sortland;Sortland;;;;;;;;x
b_ballstad;Ballstad;;;;;;;;x
b_ramberg;Ramberg;;;;;;;;x
b_laukvik;Laukvik;;;;;;;;x
c_hanko_adj;Hankoian;;;;;;;;x
b_hanko;Hanko;;;;;;;;x
b_bromarf;Bromarf;;;;;;;;x
b_oby;Oby;;;;;;;;x
b_gullo;Gullo;;;;;;;;x
b_torso;Torso;;;;;;;;x
b_ekenas;Ekenas;;;;;;;;x
b_tenala;Tenala;;;;;;;;x
b_krogars;Krogars;;;;;;;;x
c_tsakonia_adj;Tsakonian;;;;;;;;x
b_astros;Astros;;;;;;;;x
b_leonidio;Leonidio;;;;;;;;x
b_kosmas;Kosmas;;;;;;;;x
b_tyros;Tyros;;;;;;;;x
b_plaka;Plaka;;;;;;;;x
b_peleta;Peleta;;;;;;;;x
b_pigadi;Pigadi;;;;;;;;x
GRAND_DEBATE_COOLDOWN_TOOLTIP;A Grand Debate has NOT been held in the past 10 years\n;Un grand débat n'a pas eu lieu au cours des 10 dernières années\n;Große Debatte wurde in den letzten 10 Jahren NICHT abgehalten\n;;No se ha celebrado un Gran Debate en los últimos 10 años.\n;;;;;;;;;x
GRAND_DEBATE_HOLDING_TOOLTIP;A Grand Debate is NOT currently in progress\n;Un grand débat n'est pas en cours\n;Große Debatte NICHT im Gange\n;;Actualmente no se está celebrando un Gran Debate.\n;;;;;;;;;x
GRAND_DEBATE_INVITE_TOOLTIP;Send an invitation to all members of [Root.Society.GetName].;Envoyer une invitation à tous les membres [Root.Get_du_Society].;Sendet allen Mitgliedern des [Root.Society.GetName]-Zirkels eine Einladung.;;Envía una invitación a todos los miembros de [Root.Society.GetName].;;;;;;;;;x
GRAND_DEBATE_PARTICIPANT_OPINION_TOOLTIP;Participating members will gain an increased opinion of §G5§! towards you for five years\n;L'opinion des membres participants envers vous sera accrue de §G5§! pendant cinq ans\n;Alle Teilnehmer erhalten eine Meinung von §G+5§! Euch gegenüber für die Dauer von 5 Jahren\n;;Los participantes tendrán una opinión de ti mejorada de §G5§! durante cinco años.\n;;;;;;;;;x
GRAND_DEBATE_TITLE;The Grand Debate;Le grand débat;Die Große Debatte;;El Gran Debate;;;;;;;;;x
EVTDESC1_LT_61006;"My [Root.GetLordLady]!" [courtier.GetTitledFirstName] approaches me with excitement in [courtier.GetHerHis] eyes. "Would you do me the honor of bestowing a nickname upon me, my [Root.GetLordLady]?";« M[Root.GetOnA][Root.GetLordLady] ! », crie [courtier.Get_le_TitledFirstName] qui m'approche avec de l'excitation dans le regard. « Me feriez-vous l'honneur de me donner un surnom, M[Root.GetOnA][Root.GetLordLady] ? »;"Mein[Root.GeteFemale] [Root.GetLordLady]!, sagt [courtier.GetTitledFirstName] aufgeregt. "Würdet Ihr mir die Ehre erweisen und mir einen Spitznamen geben, mein[Root.GeteFemale] [Root.GetLordLady]?";;¡Mi [Root.GetLordLady]! [courtier.GetTitledFirstName] se acerca a mí con los ojos llenos de emoción. "¿Me concederíais el honor de otorgarme un apodo, mi [Root.GetLordLady]?";;;;;;;;;x
EVTDESC2_LT_61006;"My [Root.GetLordLady]!" [courtier.GetTitledFirstName] approaches me with an armful of scrolls. "Would you do me the honor of bestowing a nickname upon me, my [Root.GetLordLady]?";« M[Root.GetOnA][Root.GetLordLady] ! », crie [courtier.Get_le_TitledFirstName] qui m'approche avec une brassée de parchemins. « Me feriez-vous l'honneur de me donner un surnom, M[Root.GetOnA][Root.GetLordLady] ? »;"Mein[Root.GeteFemale] [Root.GetLordLady]!, sagt [courtier.GetTitledFirstName] mit einem Arm voller Schriftrollen. "Würdet Ihr mir die Ehre erweisen und mir einen Spitznamen geben, mein[Root.GeteFemale] [Root.GetLordLady]?";;¡Mi [Root.GetLordLady]! [courtier.GetTitledFirstName] se acerca a mí con un montón de pergaminos. "¿Me concederíais el honor de otorgarme un apodo, mi [Root.GetLordLady]?";;;;;;;;;x
EVTDESC3_LT_61006;"My [Root.GetLordLady]!" [courtier.GetTitledFirstName] approaches me with clothes stained with dirt and fire in [courtier.GetHerHis] eyes. "Would you do me the honor of bestowing a nickname upon me, my [Root.GetLordLady]?";« M[Root.GetOnA][Root.GetLordLady] ! », crie [courtier.Get_le_TitledFirstName] qui m'approche, les vêtements tachés de terre et les yeux qui pétillent. « Me feriez-vous l'honneur de me donner un surnom, M[Root.GetOnA][Root.GetLordLady] ? »;"Mein[Root.GeteFemale] [Root.GetLordLady]!, sagt [courtier.GetTitledFirstName] mit dreckiger Kleidung und feurigen Augen. "Würdet Ihr mir die Ehre erweisen und mir einen Spitznamen geben, mein[Root.GeteFemale] [Root.GetLordLady]?";;¡Mi [Root.GetLordLady]! [courtier.GetTitledFirstName] se acerca a mí con las ropas manchadas de tierra y fuego en la mirada. "¿Me concederíais el honor de otorgarme un apodo, mi [Root.GetLordLady]?";;;;;;;;;x
EVTDESC4_LT_61006;"My [Root.GetLordLady]!" [courtier.GetTitledFirstName] emerges from a gathering of courtiers and makes [courtier.GetHerHis] way over to me. "Would you do me the honor of bestowing a nickname upon me, my [Root.GetLordLady]?";« M[Root.GetOnA][Root.GetLordLady] ! », crie [courtier.Get_le_TitledFirstName] qui émerge d'un rassemblement de courtisans et se dirige vers moi. « Me feriez-vous l'honneur de me donner un surnom, M[Root.GetOnA][Root.GetLordLady] ? »;"Mein[Root.GeteFemale] [Root.GetLordLady]!, sagt [courtier.GetTitledFirstName] auf dem Rückweg von einer Hofversammlung. "Würdet Ihr mir die Ehre erweisen und mir einen Spitznamen geben, mein[Root.GeteFemale] [Root.GetLordLady]?";;¡Mi [Root.GetLordLady]! [courtier.GetTitledFirstName] surge de entre un grupo de cortesanos y se abre paso hasta mí. "¿Me concederíais el honor de otorgarme un apodo, mi [Root.GetLordLady]?";;;;;;;;;x
EVTDESC5_LT_61006;"My [Root.GetLordLady]!" [courtier.GetTitledFirstName] approaches me with a large ledger clutched in [courtier.GetHerHis] ink-stained hands. "Would you do me the honor of bestowing a nickname upon me, my [Root.GetLordLady]?";« M[Root.GetOnA][Root.GetLordLady] ! », crie [courtier.Get_le_TitledFirstName] qui m'approche, un grand livre tenu entre ses mains tachées d'encre. « Me feriez-vous l'honneur de me donner un surnom, M[Root.GetOnA][Root.GetLordLady] ? »;"Mein[Root.GeteFemale] [Root.GetLordLady]!, sagt [courtier.GetTitledFirstName] mit einem großen Buch in [courtier.GetHerHis] en mit Tinte verschmierten Händen. "Würdet Ihr mir die Ehre erweisen und mir einen Spitznamen geben, mein[Root.GeteFemale] [Root.GetLordLady]?";;¡Mi [Root.GetLordLady]! [courtier.GetTitledFirstName] se acerca a mí agarrando un gran libro con las manos manchadas de tinta. "¿Me concederíais el honor de otorgarme un apodo, mi [Root.GetLordLady]?";;;;;;;;;x
