#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
NOT_IN_DYNASTY;Is NOT a member of House $DYNASTY|Y$;N'est pas un membre de la Maison $DYNASTY|Y$;Ist KEIN Mitglied von Haus $DYNASTY|Y$;;NO forma parte de la Casa $DYNASTY|Y$;;;;;;;;;x
OFFER_MARRIGE_INTERACTION_2F;Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get married. As the relative of a $MYPARTYTIER$, §Y$MYPARTY$§W and you would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying a $THEIRPARTYTIER$.;Proposer que [ActorExtra.Get_only_le_Title]§Y[ActorExtra.GetTitledFirstName]§W et [RecipientExtra.Get_only_le_Title]§Y[RecipientExtra.GetTitledFirstName]§W se marient. En tant que proche parent d'un $MYPARTYTIER$, §Y$MYPARTY$§W (et vous aussi) recevrait en prestige? $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épous?quelqu'un ayant le statut de $THEIRPARTYTIER$.;Die Heirat von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein Verwandter von einem $MYPARTYTIER$ würden §Y$MYPARTY$§W und Ihr je $PRESTIGE$ Prestige dafür erhalten, in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten, und $PRESTIGE2$ Prestige für die Heirat mit einer $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se casen. Como familiar de un $MYPARTYTIER$, §Y$MYPARTY$§W y t?ganaréis $PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un $THEIRPARTYTIER$.;;;;;;;;;x
OFFER_MARRIGE_INTERACTION_2G;Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get married. As a $MYPARTYTIER$, §Y$MYPARTY$§W would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying a $THEIRPARTYTIER$.;Proposer que [ActorExtra.Get_only_le_Title]§Y[ActorExtra.GetTitledFirstName]§W et [RecipientExtra.Get_only_le_Title]§Y[RecipientExtra.GetTitledFirstName]§W se marient. En tant que $MYPARTYTIER$, §Y$MYPARTY$§W recevrait en prestige? $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épous?quelqu'un ayant le statut de $THEIRPARTYTIER$.;Die Heirat von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein $MYPARTYTIER$ würde §Y$MYPARTY$§W $PRESTIGE$ Prestige dafür erhalten, in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten, und $PRESTIGE2$ Prestige für die Heirat mit einer $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se casen. Como un $MYPARTYTIER$, §Y$MYPARTY$§W ganar?$PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un $THEIRPARTYTIER$.;;;;;;;;;x
OFFER_MARRIGE_INTERACTION_2H;Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get married. As a $MYPARTYTIER$, §Y$MYPARTY$§W and you would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying a $THEIRPARTYTIER$.;Proposer que [ActorExtra.Get_only_le_Title]§Y[ActorExtra.GetTitledFirstName]§W et [RecipientExtra.Get_only_le_Title]§Y[RecipientExtra.GetTitledFirstName]§W se marient. En tant que $MYPARTYTIER$, §Y$MYPARTY$§W (et vous aussi) recevrait en prestige? $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épous?quelqu'un ayant le statut de $THEIRPARTYTIER$.;Die Heirat von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein $MYPARTYTIER$ würden §Y$MYPARTY$§W und Ihr je $PRESTIGE$ Prestige dafür erhalten, in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten, und $PRESTIGE2$ Prestige für die Heirat mit einer $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se casen. Como un $MYPARTYTIER$, §Y$MYPARTY$§W y t?ganaréis $PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un $THEIRPARTYTIER$.;;;;;;;;;x
OFFER_SUCCESSION_MARRIGE_INTERACTION_2A;Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get married matrilineally. As the relative of a $MYPARTYTIER$, §Y$MYPARTY$§W would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying the relative of a $THEIRPARTYTIER$.;Proposer que [ActorExtra.Get_only_le_Title]§Y[ActorExtra.GetTitledFirstName]§W et [RecipientExtra.Get_only_le_Title]§Y[RecipientExtra.GetTitledFirstName]§W se marient matrilinéairement. En tant que proche parent d'un $MYPARTYTIER$, §Y$MYPARTY$§W recevrait en prestige? $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épous?un proche parent d'un $THEIRPARTYTIER$.;Die matrilineare Heirat von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein Verwandter von einem $MYPARTYTIER$ würde §Y$MYPARTY$§W $PRESTIGE$ Prestige dafür erhalten, in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten, und $PRESTIGE2$ Prestige für die Heirat mit einem Verwandten von einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se casen matrilinealmente. Como familiar de un $MYPARTYTIER$, §Y$MYPARTY$? ganar?$PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un familiar de un $THEIRPARTYTIER$.;;;;;;;;;x
OFFER_SUCCESSION_MARRIGE_INTERACTION_2B;Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get married matrilineally. As the relative of a $MYPARTYTIER$, §Y$MYPARTY$§W and you would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying the relative of a $THEIRPARTYTIER$.;Proposer que [ActorExtra.Get_only_le_Title]§Y[ActorExtra.GetTitledFirstName]§W et [RecipientExtra.Get_only_le_Title]§Y[RecipientExtra.GetTitledFirstName]§W se marient matrilinéairement. En tant que proche parent d'un $MYPARTYTIER$, §Y$MYPARTY$§W (et vous aussi) recevrait en prestige? $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épous?un proche parent d'un $THEIRPARTYTIER$.;Die matrilineare Heirat von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein Verwandter von einem $MYPARTYTIER$ würden §Y$MYPARTY$§W und Ihr je $PRESTIGE$ Prestige dafür erhalten, in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten, und $PRESTIGE2$ Prestige für die Heirat mit einem Verwandten von einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se casen matrilinealmente. Como familiar de un $MYPARTYTIER$, §Y$MYPARTY$§W y t?ganaréis $PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un familiar de un $THEIRPARTYTIER$.;;;;;;;;;x
OFFER_SUCCESSION_MARRIGE_INTERACTION_2C;Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get married matrilineally. As a $MYPARTYTIER$, §Y$MYPARTY$§W would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying the relative of a $THEIRPARTYTIER$.;Proposer que [ActorExtra.Get_only_le_Title]§Y[ActorExtra.GetTitledFirstName]§W et [RecipientExtra.Get_only_le_Title]§Y[RecipientExtra.GetTitledFirstName]§W se marient matrilinéairement. En tant que $MYPARTYTIER$, §Y$MYPARTY$§W recevrait en prestige? $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épous?un proche parent d'un $THEIRPARTYTIER$.;Die matrilineare Heirat von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein $MYPARTYTIER$ würde §Y$MYPARTY$§W $PRESTIGE$ Prestige dafür erhalten, in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten, und $PRESTIGE2$ Prestige für die Heirat mit einem Verwandten von einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se casen matrilinealmente. Como un $MYPARTYTIER$, §Y$MYPARTY$§W ganar?$PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un familiar de un $THEIRPARTYTIER$.;;;;;;;;;x
OFFER_SUCCESSION_MARRIGE_INTERACTION_2D;Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get married matrilineally. As a $MYPARTYTIER$, §Y$MYPARTY$§W and you would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying the relative of a $THEIRPARTYTIER$.;Proposer que [ActorExtra.Get_only_le_Title]§Y[ActorExtra.GetTitledFirstName]§W et [RecipientExtra.Get_only_le_Title]§Y[RecipientExtra.GetTitledFirstName]§W se marient matrilinéairement. En tant que $MYPARTYTIER$, §Y$MYPARTY$§W (et vous aussi) recevrait en prestige? $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épous?un proche parent d'un $THEIRPARTYTIER$.;Die matrilineare Heirat von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein $MYPARTYTIER$ würden §Y$MYPARTY$§W und Ihr je $PRESTIGE$ Prestige dafür erhalten, in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten, und $PRESTIGE2$ Prestige für die Heirat mit einem Verwandten von einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se casen matrilinealmente. Como un $MYPARTYTIER$, §Y$MYPARTY$§W y t?ganaréis $PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un familiar de un $THEIRPARTYTIER$.;;;;;;;;;x
OFFER_SUCCESSION_MARRIGE_INTERACTION_2E;Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get married matrilineally. As the relative of a $MYPARTYTIER$, §Y$MYPARTY$§W would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying a $THEIRPARTYTIER$.;Proposer que [ActorExtra.Get_only_le_Title]§Y[ActorExtra.GetTitledFirstName]§W et [RecipientExtra.Get_only_le_Title]§Y[RecipientExtra.GetTitledFirstName]§W se marient matrilinéairement. En tant que proche parent d'un $MYPARTYTIER$, §Y$MYPARTY$§W recevrait en prestige? $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$  pour avoir épous?un $THEIRPARTYTIER$.;Die matrilineare Heirat von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein Verwandter von einem $MYPARTYTIER$ würde §Y$MYPARTY$§W $PRESTIGE$ Prestige dafür erhalten, in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten, und $PRESTIGE2$ Prestige für die Heirat mit einer $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se casen matrilinealmente. Como familiar de un $MYPARTYTIER$, §Y$MYPARTY$§W ganar?$PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un $THEIRPARTYTIER$.;;;;;;;;;x
OFFER_SUCCESSION_MARRIGE_INTERACTION_2F;Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get married matrilineally. As the relative of a $MYPARTYTIER$, §Y$MYPARTY$§W and you would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying a $THEIRPARTYTIER$.;Proposer que [ActorExtra.Get_only_le_Title]§Y[ActorExtra.GetTitledFirstName]§W et [RecipientExtra.Get_only_le_Title]§Y[RecipientExtra.GetTitledFirstName]§W se marient matrilinéairement. En tant que proche parent d'un $MYPARTYTIER$, §Y$MYPARTY$§W (et vous aussi) recevrait en prestige? $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épous?un $THEIRPARTYTIER$.;Die matrilineare Heirat von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein Verwandter von einem $MYPARTYTIER$ würden §Y$MYPARTY$§W und Ihr je $PRESTIGE$ Prestige dafür erhalten, in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten, und $PRESTIGE2$ Prestige für die Heirat mit einer $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se casen matrilinealmente. Como familiar de un $MYPARTYTIER$, §Y$MYPARTY$§W y t?ganaréis $PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un $THEIRPARTYTIER$.;;;;;;;;;x
OFFER_SUCCESSION_MARRIGE_INTERACTION_2G;Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get married matrilineally. As a $MYPARTYTIER$, §Y$MYPARTY$§W would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying a $THEIRPARTYTIER$.;Proposer que [ActorExtra.Get_only_le_Title]§Y[ActorExtra.GetTitledFirstName]§W et [RecipientExtra.Get_only_le_Title]§Y[RecipientExtra.GetTitledFirstName]§W se marient matrilinéairement. En tant que $MYPARTYTIER$, §Y$MYPARTY$§W recevrait en prestige? $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épous?un $THEIRPARTYTIER$.;Die matrilineare Heirat von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein $MYPARTYTIER$ würde §Y$MYPARTY$§W $PRESTIGE$ Prestige dafür erhalten, in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten, und $PRESTIGE2$ Prestige für die Heirat mit einer $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se casen matrilinealmente. Como un $MYPARTYTIER$, §Y$MYPARTY$§W ganar?$PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un $THEIRPARTYTIER$.;;;;;;;;;x
OFFER_SUCCESSION_MARRIGE_INTERACTION_2H;Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get married matrilineally. As a $MYPARTYTIER$, §Y$MYPARTY$§W and you would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying a $THEIRPARTYTIER$.;Proposer que [ActorExtra.Get_only_le_Title]§Y[ActorExtra.GetTitledFirstName]§W et [RecipientExtra.Get_only_le_Title]§Y[RecipientExtra.GetTitledFirstName]§W se marient matrilinéairement. En tant que $MYPARTYTIER$, §Y$MYPARTY$§W (et vous aussi) recevrait en prestige? $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épous?un $THEIRPARTYTIER$.;Die matrilineare Heirat von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein $MYPARTYTIER$ würden §Y$MYPARTY$§W und Ihr je $PRESTIGE$ Prestige dafür erhalten, in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten, und $PRESTIGE2$ Prestige für die Heirat mit einer $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se casen matrilinealmente. Como un $MYPARTYTIER$, §Y$MYPARTY$§W y t?ganaréis $PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un $THEIRPARTYTIER$.;;;;;;;;;x
ARRANGE_BETROTHAL_INTERACTION_2A;Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get betrothed. As the relative of a $MYPARTYTIER$, §Y$MYPARTY$§W would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying the relative of a $THEIRPARTYTIER$.;Proposer que [ActorExtra.Get_only_le_Title]§Y[ActorExtra.GetTitledFirstName]§W et [RecipientExtra.Get_only_le_Title]§Y[RecipientExtra.GetTitledFirstName]§W se fiancent. En tant que proche parent d'un $MYPARTYTIER$, §Y$MYPARTY$§W recevrait en prestige? $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épous?un proche parent d'un $THEIRPARTYTIER$.;Ein Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein Verwandter von einem $MYPARTYTIER$ würde §Y$MYPARTY$§W $PRESTIGE$ Prestige dafür erhalten, in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten, und $PRESTIGE2$ Prestige für die Heirat mit einem Verwandten von einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se prometan. Como familiar de un $MYPARTYTIER$, §Y$MYPARTY$? ganar?$PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un familiar de un $THEIRPARTYTIER$.;;;;;;;;;x
ARRANGE_BETROTHAL_INTERACTION_2B;Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get betrothed. As the relative of a $MYPARTYTIER$, §Y$MYPARTY$§W and you would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying the relative of a $THEIRPARTYTIER$.;Proposer que [ActorExtra.Get_only_le_Title]§Y[ActorExtra.GetTitledFirstName]§W et [RecipientExtra.Get_only_le_Title]§Y[RecipientExtra.GetTitledFirstName]§W se fiancent. En tant que proche parent d'un $MYPARTYTIER$, §Y$MYPARTY$§W (et vous aussi) recevrait en prestige? $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épous?un proche parent d'un $THEIRPARTYTIER$.;Ein Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein Verwandter von einem $MYPARTYTIER$ würden §Y$MYPARTY$§W und Ihr je $PRESTIGE$ Prestige dafür erhalten, in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten, und $PRESTIGE2$ Prestige für die Heirat mit einem Verwandten von einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se prometan. Como familiar de un $MYPARTYTIER$, §Y$MYPARTY$§W y t?ganaréis $PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un familiar de un $THEIRPARTYTIER$.;;;;;;;;;x
ARRANGE_BETROTHAL_INTERACTION_2C;Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get betrothed. As a $MYPARTYTIER$, §Y$MYPARTY$§W would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying the relative of a $THEIRPARTYTIER$.;Proposer que [ActorExtra.Get_only_le_Title]§Y[ActorExtra.GetTitledFirstName]§W et [RecipientExtra.Get_only_le_Title]§Y[RecipientExtra.GetTitledFirstName]§W se fiancent. En tant que $MYPARTYTIER$, §Y$MYPARTY$§W recevrait en prestige? $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épous?un proche parent d'un $THEIRPARTYTIER$.;Ein Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein $MYPARTYTIER$ würde §Y$MYPARTY$§W $PRESTIGE$ Prestige dafür erhalten, in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten, und $PRESTIGE2$ Prestige für die Heirat mit einem Verwandten von einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se prometan. Como un $MYPARTYTIER$, §Y$MYPARTY$§W ganar?$PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un familiar de un $THEIRPARTYTIER$.;;;;;;;;;x
ARRANGE_BETROTHAL_INTERACTION_2D;Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get betrothed. As a $MYPARTYTIER$, §Y$MYPARTY$§W and you would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying the relative of a $THEIRPARTYTIER$.;Proposer que [ActorExtra.Get_only_le_Title]§Y[ActorExtra.GetTitledFirstName]§W et [RecipientExtra.Get_only_le_Title]§Y[RecipientExtra.GetTitledFirstName]§W se fiancent. En tant que $MYPARTYTIER$, §Y$MYPARTY$§W (et vous aussi) recevrait en prestige? $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épous?un proche parent d'un $THEIRPARTYTIER$.;Ein Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein $MYPARTYTIER$ würden §Y$MYPARTY$§W und Ihr je $PRESTIGE$ Prestige dafür erhalten, in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten, und $PRESTIGE2$ Prestige für die Heirat mit einem Verwandten von einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se prometan. Como un $MYPARTYTIER$, §Y$MYPARTY$§W y t?ganaréis $PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un familiar de un $THEIRPARTYTIER$.;;;;;;;;;x
ARRANGE_BETROTHAL_INTERACTION_2E;Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get betrothed. As the relative of a $MYPARTYTIER$, §Y$MYPARTY$§W would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying a $THEIRPARTYTIER$.;Proposer que [ActorExtra.Get_only_le_Title]§Y[ActorExtra.GetTitledFirstName]§W et [RecipientExtra.Get_only_le_Title]§Y[RecipientExtra.GetTitledFirstName]§W se fiancent. En tant que proche parent d'un $MYPARTYTIER$, §Y$MYPARTY$§W recevrait en prestige? $PRESTIGE$ pour l'union avec la maison §Y[RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épous?quelqu'un ayant le statut de $THEIRPARTYTIER$.;Ein Verlöbnis von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein Verwandter von einem $MYPARTYTIER$ würde §Y$MYPARTY$§W $PRESTIGE$ Prestige dafür erhalten, in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten, und $PRESTIGE2$ Prestige für die Heirat mit einer $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se prometan. Como familiar de un $MYPARTYTIER$, §Y$MYPARTY$§W ganar?$PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un $THEIRPARTYTIER$.;;;;;;;;;x
