#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
INSULT_PIGFACE;pigface;face de cochon;[Root.GetGesichtskrapfenHackfresse];;caracerdo;;;;;;;;;x #noun - child - chaste gluttonous
EVTOPTC_RIP_11035;Please do only what is necessary.;S'il vous plaît, ne faites que ce qui est nécessaire.;Bitte tut nur das Allernötigste.;;Por favor, haz solo lo que sea necesario.;;;;;;;;;x
EVTOPTC_RIP_11035_TOOLTIP;§Y[From.GetBestName]§! will make you more comfortable in your current state. This treatment will have a very small chance of going badly, but the positive effects will not have much impact. The risk of this treatment will vary depending on [From.GetHerHis] capabilities.;[From.Get_only_Le_Title]§Y[From.GetBestName]§! vous mettra plus à l'aise dans votre état actuel. Ce traitement risque peu de mal tourner, mais les effets positifs n'auront pas beaucoup d'impact. Le risque varie en fonction de ses compétences.;§Y[From.GetBestName]§! wird Euch lediglich Linderung verschaffen. Die Wahrscheinlichkeit von negativen Auswirkungen durch diese Behandlung ist sehr gering, doch die positiven Auswirkungen werden nicht sehr stark sein. Die Risiken dieser Behandlung hängen davon ab, wie fähig [From.GetSheHe] ist.;;§Y[From.GetBestName]§! hará que te sientas mejor en tu estado actual. Este tratamiento tiene una pequeña posibilidad de salir mal, pero los efectos positivos no tendrán mucha repercusión. El riesgo de este tratamiento variará dependiendo de su aptitud.;;;;;;;;;x
EVTOPTD_RIP_11035;These treatments sound scary.;Ces traitements ont l'air effrayants.;Diese Behandlungen klingen beängstigend.;;Estos tratamientos dan miedo.;;;;;;;;;x
EVTDESC_RIP_11040;[FromFrom.GetBestName] looked me deep in the eyes before he forced me to drink the dirty water he had brought from his office. It was apparently filled with tiny creatures which should drive out the disease demons within me.;[FromFrom.Get_only_Le_Title][FromFrom.GetBestName] me regarda au fond des yeux avant de me forcer à boire l'eau sale apportée depuis son bureau. C'était apparemment rempli de petites bêtes qui devraient chasser hors de moi les démons de la maladie.;[FromFrom.GetBestName] blickte mir tief in die Augen und zwang mich dann dazu, das mitgebrachte schmutzige Wasser zu trinken. Angeblich befanden sich darin winzige Kreaturen, welche die Krankheitsdämonen aus meinem Körper vertreiben sollen.;;[From.GetBestName] me mira directamente a los ojos antes de obligarme a beber el agua sucia que trae de su consulta. Al parecer estaba llena de criaturitas que expulsarán de mi interior los demonios de la enfermedad.;;;;;;;;;x
EVTDESC_RIP_11041;[FromFrom.GetBestName] gave me a mix of herbal tea to drink daily and I was told to relax and avoid food.;[FromFrom.Get_only_Le_Title][FromFrom.GetBestName] m'a donné un mélange de tisanes à boire tous les jours et m'a dit de me détendre et d'éviter les aliments.;[FromFrom.GetBestName] brachte mir einen Kräutertee, den ich täglich trinken soll. Außerdem soll ich mich ausruhen und Essen meiden.;;[From.GetBestName] me dio una mezcla de tés de hierbas para que lo beba todos los días, me dijo que me relajase y evitase la comida.;;;;;;;;;x
EVTDESC_RIP_11042;[FromFrom.GetBestName] sang for me a bit while [FromFrom.GetSheHe] tucked me in. [FromFrom.GetSheHeCap] said that rest is enough to cure any ailment.;[FromFrom.Get_only_Le_Title][FromFrom.GetBestName] a chanté un peu pour moi alors qu'elle me bordait. [FromFrom.GetIlElleCap] a dit que le repos est suffisant pour soigner n'importe quelle maladie.;[FromFrom.GetBestName] sang mir etwas vor und deckte mich warm zu. [FromFrom.GetSheHeCap] meinte, mit Ruhe sei jedes Gebrechen heilbar.;;[From.GetBestName] cantó un poco mientras me arropaba. Dijo que el descanso sería suficiente para curar cualquier dolencia.;;;;;;;;;x
EVTOPTA_RIP_11045_TOOLTIP;§Y[From.GetBestName]§! will do [From.GetHerHis] best to treat your symptoms.;[From.Get_only_Le_Title]§Y[From.GetBestName]§! fera de son mieux pour traiter vos symptômes.;§Y[From.GetBestName]§! wird alles daransetzen, Eure Symptome zu behandeln.;;§Y[From.GetBestName]§! hará cuanto esté en su mano para tratar tus síntomas.;;;;;;;;;x
EVTOPTA_RIP_11045;Very well.;Très bien.;Nun gut.;;Muy bien.;;;;;;;;;x
EVTDESC_RIP_11045_has_tuberculosis;[From.GetTitledName] is fairly sure you are developing Tuberculosis. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] a presque la certitude que vous avez la consomption. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich recht sicher, dass Ihr Anzeichen von Schwindsucht zeigt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] está bastante segur[From.GetOA] que has contraído Tisis. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_tuberculosis_horse;[From.GetTitledName] thinks you sound rather horse and is concerned that you may be developing Tuberculosis. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] dit que vous avez une fièvre de cheval et s'inquiète que vous puissiez avoir contracté la consomption. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] findet, Eure Stimme klänge heiser, und befürchtet, dass Ihr Anzeichen von Schwindsucht zeigen könntet. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] cree que sueno bastante ronco y le preocupa que haya contraído Tisis. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_tuberculosis_certain;[From.GetTitledName] states that [From.GetHerHis] extensive medical experience leads [From.GetHerHim] to the certain conclusion that you are developing Tuberculosis. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] affirme que sa vaste expérience l'amène à la certitude que vous avez la consomption. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich aufgrund langjähriger medizinischer Erfahrung absolut sicher, dass Ihr Anzeichen von Schwindsucht zeigt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] expone que su amplia experiencia médica le lleva a la conclusión de que has contraído Tisis. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_tuberculosis_sure;[From.GetTitledName] is sure you are developing Tuberculosis. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] a la conviction que vous avez la consomption. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich sicher, dass Ihr Anzeichen von Schwindsucht zeigt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] está segur[From.GetOA] que has contraído Tisis. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_tuberculosis_uncertain;[From.GetTitledName] hesitantly suggests you are probably developing Tuberculosis, or something like that. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] suggère avec hésitation que vous avez probablement la consomption, ou quelque chose du genre. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] zieht zögerlich in Erwägung, dass Ihr möglicherweise Anzeichen von Schwindsucht oder etwas Ähnlichem zeigen könntet. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] sugiere dudos[From.GetOA] que puede que hayas contraído Tisis o algo parecido. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_typhoid_fever;[From.GetTitledName] is fairly sure you are developing Typhoid Fever. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] a presque la certitude que vous avez la fièvre lente. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich ziemlich sicher, dass Ihr Anzeichen von schleichendem Fieber zeigt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] está bastante segur[From.GetOA] que has contraído Fiebre tifoidea. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_typhoid_fever_horse;[From.GetTitledName] is fairly sure you are developing Typhoid Fever, although so far your condition is stable. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] a presque la certitude que vous avez la fièvre lente, bien que jusqu'ici votre état est stable. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions afin de soigner cette fièvre de cheval.;[From.GetTitledName] ist sich ziemlich sicher, dass Ihr Anzeichen von schleichendem Fieber zeigt, auch wenn Eure Verfassung noch stabil ist. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] está bastante segur[From.GetOA] que has contraído Fiebre tifoidea, aunque hasta ahora tu estado es estable. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_typhoid_fever_certain;[From.GetTitledName] states that [From.GetHerHis] extensive medical experience leads [From.GetHerHim] to the certain conclusion that you are developing Typhoid Fever. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] affirme que sa vaste expérience l'amène à la certitude que vous avez la fièvre lente. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich aufgrund langjähriger medizinischer Erfahrung absolut sicher, dass Ihr Anzeichen von schleichendem Fieber zeigt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] expone que su amplia experiencia médica le lleva a la conclusión de que has contraído Fiebre tifoidea. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_typhoid_fever_sure;[From.GetTitledName] is sure you are developing Typhoid Fever. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] a la conviction que vous avez la fièvre lente. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich sicher, dass Ihr Anzeichen von schleichendem Fieber zeigt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] está segur[From.GetOA] que has contraído Fiebre tifoidea. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_typhoid_fever_uncertain;[From.GetTitledName] hesitantly suggests you are probably developing Typhoid Fever, or something like that. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] suggère avec hésitation que vous avez probablement la fièvre lente, ou quelque chose du genre. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] zieht zögerlich in Erwägung, dass Ihr möglicherweise Anzeichen von schleichendem Fieber oder etwas Ähnlichem zeigen könntet. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] sugiere dudos[From.GetOA] que puede que hayas contraído Fiebre tifoidea o algo parecido. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_typhus;[From.GetTitledName] is fairly sure you are developing Typhus. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] a presque la certitude que vous avez la fièvre des camps. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich ziemlich sicher, dass Ihr Anzeichen von Lagerfieber zeigt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] está bastante segur[From.GetOA] que has contraído Tifus. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_typhus_horse;[From.GetTitledName] is fairly sure you are developing Typhus, a disease which can cause an altered mental state. [From.GetSheHeCap] pauses briefly to shake [From.GetHerHis] mane and stamp a hoof several times on the floor before warning you to be on the lookout for signs of delirium. [From.GetTitledName] insists that you whinnied to follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] a presque la certitude que vous avez la fièvre des camps, une maladie qui peut causer un état mental altéré. [From.GetIlElleCap] s'interrompt un bref instant pour secouer sa crinière et piaffer, puis vous demande d'être à l'affût de tout signe de délire. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions afin de soigner cette fièvre de cheval.;[From.GetTitledName] ist sich ziemlich sicher, dass Ihr Anzeichen von Lagerfieber zeigt, einer Krankheit, die Auswirkungen auf den Geisteszustand haben kann. [From.GetSheHeCap] hält kurz inne, schüttelt die Mähne und stampft mehrmals mit dem Huf auf. Dann warnt [From.GetSheHe] Euch, auf Zeichen von Fieberwahn zu achten. [From.GetSheHeCap] wiehert Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] está bastante segur[From.GetOA] que has contraído Tifus, una enfermedad que puede provocar un estado mental alterado. [From.GetElEllaCap] hace una pausa para sacudirse la crin, y pisar el suelo con sus cascos antes de advertirte que estés atento a señales de delirio. [From.GetTitledName] insiste que relinches que seguirás sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_typhus_certain;[From.GetTitledName] states that [From.GetHerHis] extensive medical experience leads [From.GetHerHim] to the certain conclusion that you are developing Typhus. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] affirme que sa vaste expérience l'amène à la certitude que vous avez la fièvre des camps. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich aufgrund langjähriger medizinischer Erfahrung absolut sicher, dass Ihr Anzeichen von Lagerfieber zeigt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] expone que su amplia experiencia médica le lleva a la conclusión de que has contraído Tifus. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_typhus_sure;[From.GetTitledName] is sure you are developing Typhus. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] a la conviction que vous avez la fièvre des camps. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich sicher, dass Ihr Anzeichen von Lagerfieber zeigt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] está segur[From.GetOA] que has contraído Tifus. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_typhus_uncertain;[From.GetTitledName] hesitantly suggests you are probably developing Typhus, or something like that. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] suggère avec hésitation que vous avez probablement la fièvre des camps, ou quelque chose du genre. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] zieht zögerlich in Erwägung, dass Ihr möglicherweise Anzeichen von Lagerfieber oder etwas Ähnlichem zeigen könntet. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] sugiere dudos[From.GetOA] que puede que hayas contraído Tifus o algo parecido. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_bubonic_plague;[From.GetTitledName] is worried you may be infected with the Red Death. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] s'inquiète que vous puissiez avoir contracté la peste bubonique. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] befürchtet, dass Ihr Euch mit der Beulenpest angesteckt haben könntet. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;A [From.GetTitledName] le preocupa que puedas haber contraído la Peste bubónica. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_bubonic_plague_horse;[From.GetTitledName] is worried you may be infected with the Red Death and you mare may not recover. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] s'inquiète que vous puissiez avoir contracté la peste bubonique et qu'il faudrait une médecine de cheval pour pouvoir en guérir. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] befürchtet, dass Ihr Euch mit der Beulenpest angesteckt haben könntet und Euch eventuell nicht davon erholen werdet. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;A [From.GetTitledName] le preocupa te hayas contraído la Peste bubónica y puede que no te recuperes. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_bubonic_plague_certain;[From.GetTitledName] states that [From.GetHerHis] extensive medical experience leads [From.GetHerHim] to the certain conclusion that you are infected with the Red Death. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] affirme que sa vaste expérience l'amène à la certitude que vous avez la peste bubonique. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich aufgrund langjähriger medizinischer Erfahrung absolut sicher, dass Ihr Euch mit der Beulenpest angesteckt habt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] expone que su amplia experiencia médica le lleva a la conclusión de que has contraído la Peste bubónica. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_bubonic_plague_sure;[From.GetTitledName] is worried you are infected with the Red Death. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] craint que vous n'ayez la peste bubonique. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] befürchtet, dass Ihr Euch mit der Beulenpest angesteckt habt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;A [From.GetTitledName] le preocupa que hayas contraído la Peste bubónica. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_bubonic_plague_uncertain;[From.GetTitledName] hesitantly suggests you are probably infected with the Red Death. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] suggère avec hésitation que vous avez probablement la peste bubonique. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] weist zögerlich darauf hin, dass Ihr Euch vermutlich mit der Beulenpest angesteckt habt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] sugiere dudos[From.GetOA] que puedes haber contraído la Peste bubónica. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_measles;[From.GetTitledName] is fairly sure you have Measles. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] a presque la certitude que vous avez la rougeole. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich recht sicher, dass Ihr die Masern habt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] está bastante segur[From.GetOA] que has contraído el Sarampión. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_measles_horse;[From.GetTitledName] is fairly sure you have Measles, but [From.GetSheHe] hopes that it will not be there furlong. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] a presque la certitude que vous avez la rougeole, mais espère que cela ne durera pas. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich recht sicher, dass Ihr die Masern habt, möchte jedoch nicht die Pferde scheu machen. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] está bastante segur[From.GetOA] que has contraído el Sarampión, si bien espera que no dure demasiado. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_measles_certain;[From.GetTitledName] states that [From.GetHerHis] extensive medical experience leads [From.GetHerHim] to the certain conclusion that you have Measles. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] affirme que sa vaste expérience l'amène à la certitude que vous avez la rougeole. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich aufgrund langjähriger medizinischer Erfahrung absolut sicher, dass Ihr die Masern habt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] expone que su amplia experiencia médica le lleva a la conclusión de que has contraído el Sarampión. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_measles_sure;[From.GetTitledName] is sure you have Measles. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] a la conviction que vous avez la rougeole. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich sicher, dass Ihr die Masern habt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] está segur[From.GetOA] que has contraído el Sarampión. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_measles_uncertain;[From.GetTitledName] hesitantly suggests you are probably have Measles. Or Weasels? No, definitely Measles. Probably. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] suggère avec hésitation que vous avez probablement la rougeole, ou quelque chose du genre. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] weist zögerlich darauf hin, dass Ihr vermutlich die Masern habt. Oder in der Mauser seid. Nein, auf jeden Fall Masern. Vermutlich. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] sugiere dudos[From.GetOA] que puede que hayas contraído el sarampión, ¿champiñón? No, seguro que Sarampión. Probablemente. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_small_pox;[From.GetTitledName] is worried that you may be developing Cholera. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] s'inquiète que vous puissiez avoir contracté la petite vérole. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] befürchtet, dass Ihr Anzeichen von Blattern zeigen könntet. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] está bastante segur[From.GetOA] que has contraído la Viruela. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_small_pox_horse;[From.GetTitledName] is worried that your rein may be at an end, as you seem to be developing Cholera. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] s'inquiète que vous puissiez avoir contracté la petite vérole. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] hofft, nicht aufs falsche Pferd gesetzt zu haben, befürchtet aber, dass Ihr Anzeichen von Blattern zeigt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] está bastante segur[From.GetOA] que has contraído la Viruela, una enfermedad que puede provocar un estado mental alterado. [From.GetElEllaCap] hace una pausa para sacudirse la crin, y pisar el suelo con sus cascos antes de advertirte que estés atento a señales de delirio. [From.GetTitledName] insiste que relinches que seguirás sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_small_pox_certain;[From.GetTitledName] states that [From.GetHerHis] extensive medical experience leads [From.GetHerHim] to the certain conclusion that you are developing Cholera. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] affirme que sa vaste expérience l'amène à la certitude que vous avez la variole. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich aufgrund langjähriger medizinischer Erfahrung absolut sicher, dass Ihr Anzeichen von Blattern zeigt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] expone que su amplia experiencia médica le lleva a la conclusión de que has contraído la Viruela. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_small_pox_sure;[From.GetTitledName] is worried that you are developing Cholera. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] craint que vous n'ayez la petite vérole. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] befürchtet, dass Ihr Anzeichen von Blattern zeigt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] está segur[From.GetOA] que has contraído la Viruela. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_small_pox_uncertain;[From.GetTitledName] reckons that you are may be developing Cholera, which is probably not too bad since it is small. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] croit que vous avez la petite vérole, ce qui n'est probablement pas grave, puisque c'est la « petite ». [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] schätzt, dass Ihr Anzeichen von Blattern zeigen könntet, was aber vermutlich kein Grund zur Sorge sein sollte. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] sugiere dudos[From.GetOA] que puede que hayas contraído la Viruela, lo que no será demasiado grave porque es pequeña. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_aztec_disease;[From.GetTitledName] is worried that you may have Syphilis. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] s'inquiète que vous puissiez avoir contracté la syphilis. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions afin de retrouver une santé de cheval.;[From.GetTitledName] befürchtet, dass Ihr Syphilis haben könntet. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;A [From.GetTitledName] le preocupa que puedas tener la Sífilis. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_aztec_disease_horse;[From.GetTitledName] is concerned that you may have Syphilis. [From.GetSheHeCap] thinks that you mustang out with the wrong type of people. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] s'inquiète que vous puissiez avoir contracté la syphilis. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] befürchtet, dass Ihr Syphilis haben könntet, möchte bezüglich der Ursache aber nicht gleich Ross und Reiter nennen. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;A [From.GetTitledName] le preocupa que puedas tener la Sífilis. [From.GetElEllaCap] cree que te habrás liado con la gente equivocada. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_aztec_disease_certain;[From.GetTitledName] states that [From.GetHerHis] extensive medical experience leads [From.GetHerHim] to the certain conclusion that you have Syphilis. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] affirme que sa vaste expérience l'amène à la certitude que vous avez la syphilis. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich aufgrund langjähriger medizinischer Erfahrung absolut sicher, dass Ihr Syphilis habt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] expone que su amplia experiencia médica le lleva a la conclusión de que tienes la Sífilis. Insiste que sigas sus instrucciones.;;;;;;;;;x
