EVTTITLE_ATEOW_realm_event_99999;Zapadoslavia;;;;;;;;;x,,,,,,,,
EVTDESC_ATEOW_realm_event_99999;Legends say that at one time all Slavs where united as brothers, but the great disaster that befell our world tore us apart. Yugoslavia showed that hope of reunification was not lost, and like the Southern Slavs it was only a matter of time until the Western Slavs would find common ground and reunite.\n\nIt was [e_zapadoslavia.Holder.GetFirstNameWithNick] who finally brought the Western Slavs together under the banner of Zapadoslavia. Throughout the new realm, Poles, Czechs and Slovaks celebrate this momentous occasion.;;;;;;;;;x,,,,
america17Title;Of the Love or Hatred God Has For The English;;;;;;;;;x,,,,,,,,
america17Desc;After conquering Ontario, the Redcoats were confident that Quebec too would fall swiftly - after all, if British stock had proven unable to resist them, what chance did Frenchmen have? But this proved untrue. For a maiden had appeared among the French, seemingly blessed by God. Around her, the squabbling Frenchmen seemed to rally and swarm like ants around their Queen. The Redcoats were overstretched, demoralised, and suffering from the cold winter, and found themselves unable to hold back the fury of Quebec. Now Redcoat control is collapsing all over America...;;;;;;;;;x,,,,,,,,
america17A;This feels strangely familiar...;;;;;;;;;x,,,,,,,,

america18Title;Rumblings and Rumors;;;;;;;;;x,,,,,,,,
america18Desc;It is over. The Redcoats have utterly lost control of their holdings in America, and they have been scattered to the four winds. Their soldiers have surrendered, some being absorbed into the civilian populace, others attempting to flee back across the Ocean, very few of whom will ever be seen again. The few survivors tell harowing stories of American savagery and vengeance, hounded by the fear that the demons of the New World will not leave them be, but will pursue them back home...;;;;;;;;;x,,,,,,,,
america18A;They could never bring such a big force over the ocean! Right..?;;;;;;;;;x,,,,,,,,

america19Title;The Wind Comes From The West;;;;;;;;;x,,,,,,,,
america19Desc;Some years ago, the Redcoat Dominion invaded the distant and fabled land of America. Their invasion ultimately failed, and little has been heard from that land ever since. But now, the worst fears of the Redcoat survivors have been realised - the Americans, galvanised by the shock of the British invasion, and realising that the world beyond the Atlantic truly does still exist, have formed a great horde, and having spent several years building a fleet of ships, have launched a great invasion of the Old World. Their armies have already landed near Knock, in Ireland, and they have unfurled their banner, declaring their intent to establish American hegemony upon this world.;;;;;;;;;x,,,,,,,,
america19A;I've got a bad feeling about this...;;;;;;;;;x,,,,,,,,
america19B;The legends never prepared us for this...;;;;;;;;;x,,,,,,,,
america19C;I fail to see how this matters to us;;;;;;;;;x,,,,,,,,
america19D;Europe for the Americans!;;;;;;;;;x,,,,,,,,

america20Title;The Redcoats Set Sail;;;;;;;;;x,,,,,,,,
america20Desc;Everyone has heard the legends of the great British Empire, and of the glory that was hers long ago, before the world broke. But of all the lands of the Crown that were lost, the fabled "America" has always been foremost in the minds of the British. Myths tell of the expulsion of The Queen's forces from America by the demon Washington, and though Her Majesty's forces recovered from this defeat, they never reclaimed those far lands. Recently, this ancient defeat has been much on the mind of the Grandmaster of the Redcoats, who has gathered a large number of soldiers and set off for the far distant land, hoping to conquer it for the Crown once more.;;;;;;;;;x,,,,,,,,
america20A;May the Queen grant them victory;;;;;;;;;x,,,,,,,,
america20B;Good riddance;;;;;;;;;x,,,,,,,,
america20C;Lunatics!;;;;;;;;;x,,,,,,,,

america21Title;Fading Into Memory;;;;;;;;;x,,,,,,,,
america21Desc;Several years ago, the Redcoat Dominion crossed the roaring Atlantic and invaded mysterious America. The last anyone heard of them was five years ago, by which point they had defeated almost all of the major realms of Eastern America. Despite this success, the British have been growing concerned - the Redcoats are meant to send annual reports back to the homeland to inform them about the progress of the invasion, but no such reports have been received for five years or so. What could have happened to them? None of the investigators that have set out from Britain have returned, and it may well be that we will never know what happened to them, unless and until they decide to tell us.;;;;;;;;;x,,,,,,,,
america21A;Only the Pope should see this text!;;;;;;;;;x,,,,,,,,
america21B;We must only hope that no news is good news;;;;;;;;;x,,,,,,,,
america21C;With any luck, they've all caught some disease and died;;;;;;;;;x,,,,,,,,
america21D;And the weather report?;;;;;;;;;x,,,,,,,,

america18D;I wonder who are coming here;;;;;;;;;x,,,,,,,,
america22Desc;Who do you feel worthy enough to rampage Europe?;;;;;;;;;x,,,,,,,,
america22A;The Yankees!;;;;;;;;;x,,,,,,,,
america22B;The Americanists!;;;;;;;;;x,,,,,,,,
america22C;The Appalachian!;;;;;;;;;x,,,,,,,,
america22D;None of these...;;;;;;;;;x,,,,,,,,
america23A;The Dixies!;;;;;;;;;x,,,,,,,,
america23B;The Hudsonian!;;;;;;;;;x,,,,,,,,
america23C;The Ontarian!;;;;;;;;;x,,,,,,,,
america24A;The Ursuline!;;;;;;;;;x,,,,,,,,
america24B;I don't really know;;;;;;;;;x,,,,,,,,

ironist1Title;How To Build Your Chariot;;;;;;;;;x,,
ironist1Desc;The Chariot - the most noble and dignified of weapons. The savages in the rest of the world may have forgotten the message of The Steel Godhead, but we remember and still heed its voice. As a sign of this, no Ironist chief would be caught dead without a personal Chariot, and now, you have a chance to make yours a truly distinguished piece of wargear, famed the world over. First, however, you will need to decide upon the type of chassis you will build upon.;;;;;;;;;x,,
ironist1A;A Linebreaker, to crash through the enemy;;;;;;;;;x,,
ironist1B;A Dais, to inspire my troops;;;;;;;;;x,,
ironist1C;A Charger, to outflank the enemy;;;;;;;;;x,,

ironist2Title;Horse Power;;;;;;;;;x,,
ironist2Desc;Now that you have chosen the chassis you will use, the smiths wish to know how large you want your chariot to be. A larger chariot is more impressive, but will be more expensive.;;;;;;;;;x,,
ironist2A;Two horses' power will suffice;;;;;;;;;x,,
ironist2B;Four horses' power will suffice;;;;;;;;;x,,
ironist2C;Nothing less than six horses' power!;;;;;;;;;x,,

ironist3Title;Blinging Out;;;;;;;;;x,,
ironist3Desc;The Iron Men of old adorned their metal steeds with symbols of power, a practice that we continue to this day. Which icon will you inscribe upon your chariot?;;;;;;;;;x,,
ironist3A;The Silver Ship, noblest vessel of old Russia;;;;;;;;;x,,
ironist3B;The Martial Griffon, to bring courage;;;;;;;;;x,,
ironist3C;The Three-Point Star, to bring glory;;;;;;;;;x,,

ironist4Title;Upon An Iron Horse;;;;;;;;;x,,
ironist4Desc;At last, the smiths bring you into their workshop and present to you your completed chariot!;;;;;;;;;x,,
ironist4A;Wonderful!;;;;;;;;;x,,,

stalinmas.1.d;Every year in December, every good Stalinist is supposed to take part in the ancient tradition of "Redistributing Wealth" to celebrate the birth of Lord Stalin. This year, you have decided to participate, by giving away a part of your money to the peasants living in your realm.;;;;;;;;;x,,,,,,,
EVTOPTA_stalinmas.1;Let the Stalinmas begin!;;;;;;;;;x,,,,,,,,

AEO1title;Choose an Icon to venerate;;;;;;;;;x,,,,,,,,
AEO1desc;After the Event Orthodoxy was left beheaded and disunified for nearly three centuries, until Emperess Andriana of Transnistria created orthodox hierarchy anew. Still, all those years of religious anarchy and everyday struggle for orthodox faithful has led most of them to worship niche saints and especially Icons depicting them far more than before the event.Their cults often even eclipsing at times seemingly pan-christian figures like Jesus and Virgin Mary;;;;;;;;;x,,,,,,,,
AEO1A;Athos, the Mountain-Saint!;;;;;;;;;x,,,,,,,,
AEO1B;Andriana, the First True Empress!;;;;;;;;;x,,,,,,,,
AEO1C;George, Beast-slayer of the East!;;;;;;;;;x,,,,,,,,
AEO1D;Surely this is not all of them...;;;;;;;;;x,,,,,,,,
AEO2title;Choose an Icon to venerate.;;;;;;;;;x,,,,,,,,
AEO2desc;After the Event Orthodoxy was left beheaded and disunified for nearly three centuries, until Emperess Andriana of Transnistria restored the wandering Orthodox hierarchy to positions of power. Still, all those years of religious anarchy and everyday struggle for Orthodox faithful has led most of them to worship niche saints and especially Icons depicting them far more than before the event. Their cults often even eclipsing at times seemingly pan-christian figures like Jesus and Virgin Mary;;;;;;;;;x,,,,,,,,
AEO2A;Nicholas, the Wonderworker of Carpathians!;;;;;;;;;x,,,,,,,,
AEO2B;Basil, the Holy Fool!;;;;;;;;;x,,,,,,,,
AEO2C;I changed my mind, take me back.;;;;;;;;;x,,,,,,,,
EVTTITLE_overseas2;A Strange Man;;;;;;;;;x,,,,,,,,
EVTDESC_overseas2;Sailors at the nearby ports are talking about a strange man that's appeared recently. He speaks in a language that, while foreign, is somewhat intelligible, almost as if he were speaking your own language while very drunk. Eventually, he appears at your court, seeking an audience. Though it takes some time to translate his strange tongue, eventually it becomes clear that he has come "from across the Wide Sea" to "serve the Great Queen in Her Own Land";;;;;;;;;x,,,,,,,,
EVTOPTA_overseas2;You can serve the Queen through me;;;;;;;;;x,,,,,,,,
EVTOPTB_overseas2;He can go elsewhere;;;;;;;;;x,,,,,,,,

EVTDESC1080;It starts to look like mules aren't that great animals.;;;;;;;;;x
EVTOPTA1080;But I still hate horses!;;;;;;;;;x
EVTDESC1081;I know that I'm right, but I can't make them agree with me.;;;;;;;;;x
EVTOPTA1081;I know the truth, they don't!;;;;;;;;;x
EVTOPTB1081;I will convince them one day!;;;;;;;;;x
EVTDESC38330;My plan is always the best and only that matters. I have gained the §YStubborn§! trait.;;;;;;;;;x
EVTDESC1082;Some screams aren't full of happiness.;;;;;;;;;x
EVTOPTA1082;But my poker stays.;;;;;;;;;x
EVTDESC1083;I have a need to be accepted by people around me.;;;;;;;;;x
EVTOPTA1083;I will use my look.;;;;;;;;;x
EVTOPTB1083;I will use my knowledge.;;;;;;;;;x
EVTOPTC1083;It's a false feeling.;;;;;;;;;x
EVTDESC1084;I haven't got my hair done in weeks and nobody cares.;;;;;;;;;x
EVTOPTA1084;It was always pointless effort.;;;;;;;;;x
EVTDESC1085;I feel like having a bath today.;;;;;;;;;x
EVTOPTA1085;I'll be quick.;;;;;;;;;x
EVTDESC1086;I lost one of my books and it made me happy.;;;;;;;;;x
EVTOPTA1086;I'll search for it tomorrow.;;;;;;;;;x
EVTDESC38332;Looking good is easy and important. I have gained the §YGroomed§! trait.;;;;;;;;;x
EVTDESC38334;I hate wasting time on my look. I have gained the §YUncouth§! trait.;;;;;;;;;x
EVTDESC38336;Knowledge is power. I have gained the §YErudite§! trait.;;;;;;;;;x

khanist1Title;The Khan of Khans;;;;;;;;;x
khanist1Desc;In ancient times, the Mongols ruled the world, under the rulership of the Great Genghis Khan, the divine god who descended from the heavens under the favor of the Sky-Father. But he was betrayed, and ever since then, his children have been scattered and crushed under the boots of foreigners, be they Buddhists, Russians, or Chinese. But now, a new Genghis Khan has descended, and beneath the hoofbeats of his horses, the world trembles! A new age of Mongol conquest is about to begin!;;;;;;;;;x
EVTOPTA_khanist1;For the Khan!;;;;;;;;;x
EVTOPTB_khanist1;They have turned their backs on enlightenment, the savages.;;;;;;;;;x
EVTOPTC_khanist1;That sounds ominous...;;;;;;;;;x

bhutan.7.d;Since times Antideluvian the Emperors of Bhutan have quite often sought to give a great many gifts to their people as a way for the wealth of the Thunder Dragon to be shared among all of its children. Today that tradition continues as we celebrate the continued prosperity of the lands of the thunder dragon.;;;;;;;;;x,,,,,,,
EVTOPTA_bhutan.7;The people will certainly be greatful. Now lets go celebrate!;;;;;;;;;x,,,,,,,,
gifts_to_people;Dragon Gift Day;;;;;;;;;x,,,,,,,,
gifts_to_people_desc;Continue an ancient tradition of the Thunder Dragon emperors to share the prosperity of Bhutan;;;;;;;;;x,,,,,,,,
province_gifts_to_people;Dragon Gift Day;;;;;;;;;x,,,,,,,,
extreme_peasant_unrest;Extreme Peasant unrest;;;;;;;;;x,,,,,,,,

EVTNAME_RIP_10025;The Far North Ravaged by Plague;;;;;;;;;x,,,,,,,,
EVTDESC_RIP_10025;There are only cold and death in the Far North. The remaining tribes fight to survive. They need to send anyone who is suspicious of having the Red Death to even farther into the frozen lands. But the piles of corpses are still growing.;;;;;;;;;x,,,,,,,,
CHRONICLE_FAR_NORTH_GONE;On [GetDateText] word reached us that the Far North has been widely Depopulated by the Red Death.;Nous avons appris le [GetDateText] que la redoutable peste a dépeuplé les steppes.;Am [GetDateText] erreichte uns die Nachricht, dass der Bevölkerungsverlust durch die gefürchtete Pest in den Steppen verheerend ist.;;En [GetDateText] nos llegó la noticia de que las Estepas han quedado extensamente despobladas por la temida Peste.;;;;;;;;;x

COURTEOPTB.15;Welcome Brother!;;;;;;;;;x,,,,,,,,
COURTEOPTB.17;Welcome Sister!;;;;;;;;;x,,,,,,,,
COURTEOPTC.16;Welcome! you sound very familiar...?;;;;;;;;;x,,,,,,,,
EVTDESC_COURTE_1;An Israeli exile, fleeing persecution elsewhere, has showed up at your court. His time spent abroad has gifted him with many connections, and by all accounts he is an able diplomat. He would make a fine chancellor.;;;;;;;;;x,,,,,,,,
EVTDESC_COURTE_2;A learned Israeli man has appeared at your court. He comes highly recommended in the arts of bookkeeping and administration. Already he has suggested several ways of improving the bureaucratic efficiency of the realm, and he could potentially make a fine steward.;;;;;;;;;x,,,,,,,,
EVTDESC_COURTE_3;A mysterious Israeli man has offered his services at your court. He is well-versed in feudal court intrigue and has a past as both a mercenary and a spy. If he can be trusted, he could very well prove to be an indispensable asset in your council...;;;;;;;;;x,,,,,,,,
EVTDESC_COURTE_4;An Romani exile, fleeing persecution elsewhere, has showed up at your court. His time spent abroad has gifted him with many connections, and by all accounts he is an able diplomat. He would make a fine chancellor.;;;;;;;;;x,,,,,,,,
EVTDESC_COURTE_5;A mysterious Romani man has offered his services at your court. He is well-versed in feudal court intrigue and has a past as both a mercenary and a spy. If he can be trusted, he could very well prove to be an indispensable asset in your council...;;;;;;;;;x,,,,,,,,
EVTDESC_COURTE_6;An Domari exile, fleeing persecution elsewhere, has showed up at your court. His time spent abroad has gifted him with many connections, and by all accounts he is an able diplomat. He would make a fine chancellor.;;;;;;;;;x,,,,,,,,
EVTDESC_COURTE_7;A mysterious Domari man has offered his services at your court. He is well-versed in feudal court intrigue and has a past as both a mercenary and a spy. If he can be trusted, he could very well prove to be an indispensable asset in your council...;;;;;;;;;x,,,,,,,,
EVTDESC_COURTE_8;An Assyrian exile, fleeing persecution elsewhere, has showed up at your court. His time spent abroad has gifted him with many connections, and by all accounts he is an able diplomat. He would make a fine chancellor.;;;;;;;;;x,,,,,,,,
EVTDESC_COURTE_9;A mysterious Assyrian man has offered his services at your court. He is well-versed in feudal court intrigue and has a past as both a mercenary and a spy. If he can be trusted, he could very well prove to be an indispensable asset in your council...;;;;;;;;;x,,,,,,,,
EVTDESC_COURTE_10;A learned Assyrian man has appeared at your court. He comes highly recommended in the arts of bookkeeping and administration. Already he has suggested several ways of improving the bureaucratic efficiency of the realm, and he could potentially make a fine steward.;;;;;;;;;x,,,,,,,,
EVTDESC_COURTE_11;A robust Assyrian man has offered his services at your court. He is well-versed in military strategy and has a past a mercenary. If he can be trusted, he could very well prove to be an indispensable asset to your military forces.;;;;;;;;;x,,,,,,,,
EVTDESC_COURTE_12;An Persian Zoroastrian exile, fleeing persecution elsewhere, has showed up at your court. His time spent abroad has gifted him with many connections, and by all accounts he is an able diplomat. He would make a fine chancellor.;;;;;;;;;x,,,,,,,,
EVTDESC_COURTE_13;A learned Persian Zoroastrian man has appeared at your court. He comes highly recommended in the arts of bookkeeping and administration. Already he has suggested several ways of improving the bureaucratic efficiency of the realm, and he could potentially make a fine steward.;;;;;;;;;x,,,,,,,,
EVTDESC_COURTE_14;A mysterious Persian Zoroastrian man has offered his services at your court. He is well-versed in feudal court intrigue and has a past as both a mercenary and a spy. If he can be trusted, he could very well prove to be an indispensable asset in your council...;;;;;;;;;x,,,,,,,,
EVTDESC_COURTE_15;A robust Persian Zoroastrian man has offered his services at your court. He is well-versed in military strategy and has a past a mercenary. If he can be trusted, he could very well prove to be an indispensable asset to your military forces.;;;;;;;;;x,,,,,,,,
EVTDESC_COURTE_16;A wealthy Klynska Merchantman has arrived at your court from the far off land of Novorusskia seeking to provide you with service. He is learned in the ways of general stewardship and Money management, he will be a valuable asset to your realm.;;;;;;;;;x,,,,,,,,
EVTDESC_COURTE_17;A wealthy Klynska Merchantwoman has arrived at your court from the far off land of Novorusskia seeking to provide you with service. She is learned in the ways of general stewardship and Money management, she will be a valuable asset to your realm.;;;;;;;;;x,,,,,,,,
EVTDESC_COURTE_18;A robust Kuymk man has offered his services at your court. He is well-versed in military strategy and has a past a mercenary. If he can be trusted, he could very well prove to be an indispensable asset to your military forces.;;;;;;;;;x,,,,,,,,
EVTDESC_COURTE_19;A Scholarly Kuymk man has arrived at your court offering his services. He is a very learned man and would make an excellent court physician if he can be trusted.;;;;;;;;;x,,,,,,,,
EVTDESC_COURTE_20;A Rumca man has come to your court offering his services as a diplomat. He has spent considerable time in foreign lands and has significant connections. He would be a great asset to your realm.;;;;;;;;;x,,,,,,,,
EVTDESC_COURTE_21;A Scholarly Rumca man has arrived at your court offering his services. He is a very learned man and would make an excellent court physician if he can be trusted.;;;;;;;;;x,,,,,,,,
EVTDESC_COURTE_22;A mysterious Wolgadeutsche man has offered his services at your court. He is well-versed in feudal court intrigue and has a past as both a mercenary and a spy. If he can be trusted, he could very well prove to be an indispensable asset in your council...;;;;;;;;;x,,,,,,,,
EVTDESC_COURTE_23;A robust Wolgadeutsche man has offered his services at your court. He is well-versed in military strategy and has a past a mercenary. If he can be trusted, he could very well prove to be an indispensable asset to your military forces.;;;;;;;;;x,,,,,,,,
EVTDESC_COURTE_24;A mysterious Kuhjung man has offered his services at your court. He is well-versed in feudal court intrigue and has a past as both a mercenary and a spy. If he can be trusted, he could very well prove to be an indispensable asset in your council...;;;;;;;;;x,,,,,,,,
EVTDESC_COURTE_25;A robust Kuhjung man has offered his services at your court. He is well-versed in military strategy and has a past a mercenary. If he can be trusted, he could very well prove to be an indispensable asset to your military forces.;;;;;;;;;x,,,,,,,,
EVTDESC_COURTE_26;An Angrezi exile, fleeing persecution elsewhere, has showed up at your court. His time spent abroad has gifted him with many connections, and by all accounts he is an able diplomat. He would make a fine chancellor.;;;;;;;;;x,,,,,,,,
EVTDESC_COURTE_27;A mysterious Angrezi man has offered his services at your court. He is well-versed in feudal court intrigue and has a past as both a mercenary and a spy. If he can be trusted, he could very well prove to be an indispensable asset in your council...;;;;;;;;;x,,,,,,,,
EVTDESC_COURTE_28;A learned Angrezi man has appeared at your court. He comes highly recommended in the arts of bookkeeping and administration. Already he has suggested several ways of improving the bureaucratic efficiency of the realm, and he could potentially make a fine steward.;;;;;;;;;x,,,,,,,,
EVTDESC_COURTE_29;An Beta Israeli exile, fleeing persecution elsewhere, has showed up at your court. His time spent abroad has gifted him with many connections, and by all accounts he is an able diplomat. He would make a fine chancellor.;;;;;;;;;x,,,,,,,,
EVTDESC_COURTE_30;A mysterious Beta Israeli man has offered his services at your court. He is well-versed in feudal court intrigue and has a past as both a mercenary and a spy. If he can be trusted, he could very well prove to be an indispensable asset in your council...;;;;;;;;;x,,,,,,,,
EVTDESC_COURTE_31;A learned Beta Israeli man has appeared at your court. He comes highly recommended in the arts of bookkeeping and administration. Already he has suggested several ways of improving the bureaucratic efficiency of the realm, and he could potentially make a fine steward.;;;;;;;;;x,,,,,,,,
EVTDESC_COURTE_32;A wealthy Brasileiro Merchantman has arrived at your court from the far off land of Brazilia seeking to provide you with service. He is learned in the ways of general stewardship and Money management, he will be a valuable asset to your realm. He has additionally has offered you a gift of gold.;;;;;;;;;x,,,,,,,,
EVTDESC_COURTE_33;A wealthy Baiano Merchantman has arrived at your court from the far off land of Brazilia seeking to provide you with service. He is learned in the ways of general stewardship and Money management, she will be a valuable asset to your realm. He has additionally has offered you a gift of gold.;;;;;;;;;x,,,,,,,,



EVTNAMECOURTE.690;A Famous Bard Enters our Realm!;;;;;;;;;x,,,,,,,,
EVTDESCCOURTE.690;Sibiran Bards are group of mostly folklorist travelling scholars, who had learnt Ancient Russian language and mastered a hard art of playing a strange string-musical instrument called "Gitara" to collect an preserve remaining literary heritage of Old Rossiya and Soyuz through oral tradition. Sometimes they go to the public to preform their craft there, to the much amusement of the common folk.;;;;;;;;;x,,,,,,,,
EVTOPTACOURTE.690;A Bard, huh? Send him an invitation to this week's banquet!;;;;;;;;;x,,,,,,,,
i_dont_care_about_bards;You let the bard pass through your realm, bringing prestige to you as a ruler.;;;;;;;;;x,,,,,,,,
EVTOPTBCOURTE.690;Don't really care, let him preform to the commoners.;;;;;;;;;x,,,,,,,,
let_him_in;The Bard will attend your Banquet and perform a Ballad there.;;;;;;;;;x,,,,,,,,
EVTNAMECOURTE.691;At the Banquet...;;;;;;;;;x,,,,,,,,
EVTDESCCOURTE.691;All the noble guests have gathered, some are even already drunk, in the main hall. The Bard, after your permission, had stood up and started speaking to the guests. He sad that what you are about to hear is a so-called "Ballad", an ancient preserved piece of music from before even the deluge. He also said it was a hymn to Rodina, a Patron Goddess of all Russians, and therefore it can only be preformed in original, Old-Russian language.;;;;;;;;;x,,,,,,,,
EVTOPTACOURTE.691;Sing us the best song you've got, wise man!;;;;;;;;;x,,,,,,,,
sing_your_song;The Bard would start performing one of his Ballads, you sit down and prepare to receive his wisdom.;;;;;;;;;x,,,,,,,,
EVTOPTBCOURTE.691;Get out of here, peasant! We are not interested in your fairytales!;;;;;;;;;x,,,,,,,,
get_out_of_here_bard;Bard shrugges and goes on his merry way.;;;;;;;;;x,,,,,,,,
minted_coin;You pay the bard for his performance let him go on his journey.;;;;;;;;;x,,,,,,,,
arrest_him_lol;You will arrest the Bard and confiscate all of his money.;;;;;;;;;x,,,,,,,,
offer_to_stay_as_an_official;You and Bard start to discuss the terms of his service.;;;;;;;;;x,,,,,,,,
bard_at_your_command;Bard will be ready foe assignment.;;;;;;;;;x,,,,,,,,
EVTNAMECOURTE.6921;A War Ballad.;;;;;;;;;x,,,,,,,,
EVTDESCCOURTE.6921;You hear an a melodic yet aggressive "Gitara" performance. The bard starts to sing, though you can barely understand the lyrics. You are catching some individual phrases... a far-going Sable, Big-winged Crow flying above the battlefield, The hating Bullet... those are clearly Russian Deities fighting in some war. Later along the Ballad the Bard mentions some kind of "Red Squadrons" and you are starting to wondering, could those be the same Reds mentioned in other legends about the old Soyuz...;;;;;;;;;x,,,,,,,,
EVTOPTACOURTE.6921;Amazing song, my friend, You well earned your payment!;;;;;;;;;x,,,,,,,,
EVTOPTBCOURTE.6921;Heretic! Heathen!! Guards, arrest him, NOW!!;;;;;;;;;x,,,,,,,,
EVTOPTCCOURTE.6921;Truly astounding! Would you mind staying here for a bit longer for an extra pay?;;;;;;;;;x,,,,,,,,
EVTNAMECOURTE.6922;Ballad about a Long-Forgotten City.;;;;;;;;;x,,,,,,,,
EVTDESCCOURTE.6922;Bard starts to play his Gitara and you hear a lingering piece of music. You are having trouble understanding the lyrics, but some phrases get to you. Ballad features a far-away City, as silent as a dream, to where a main hero of the Song wants to get. He later goes to some place called "Vokzal", where he talks about that you can only get to The City ones every millennia, but the main Deity there quietly refuses to let him pass. You struggle to understand the inner meaning of this Ballad.;;;;;;;;;x,,,,,,,,
EVTOPTACOURTE.6922;Amazing song, my friend, You well earned your payment!.;;;;;;;;;x,,,,,,,,
EVTOPTBCOURTE.6922;Heretic! Heathen!! Guards, arrest him, NOW!!;;;;;;;;;x,,,,,,,,
EVTOPTCCOURTE.6922;Truly astounding! Would you mind staying here for a bit longer for an extra pay?;;;;;;;;;x,,,,,,,,
EVTNAMECOURTE.6923;Ballad about Strife;;;;;;;;;x,,,,,,,,
EVTDESCCOURTE.6923;The Bard starts playing, and a hard, rhythmic song ensues. Lyrics are not entirely intelligible to you, but you have an easy time distinguishing singular phrases. At first the ballad is idiom-heavy, but you can understand that it speaks of some children, playing war and chivalric battles among themselves, without understanding its full implementations, with the point-of-view voice speaking as one of those children, condemning themselves for their misdeeds. Ballad then presumably mentions a deity called Voronyo, a giant murder of crows, who followed the children anywhere they would go. Then suddenly the voice starts talking to the audience directly and warns you not to repeat their mistakes. You start thinking the Ballad may have something to do with the Deluge...;;;;;;;;;x,,,,,,,,
EVTOPTACOURTE.6923;Amazing song, my friend, You well earned your payment!;;;;;;;;;x,,,,,,,,
EVTOPTBCOURTE.6923;Heretic! Heathen!! Guards, arrest him, NOW!!;;;;;;;;;x,,,,,,,,
EVTOPTCCOURTE.6923;Truly astounding! Would you mind staying here for a bit longer for an extra pay?;;;;;;;;;x,,,,,,,,
EVTNAMECOURTE.6924;Ballad about a Deer.;;;;;;;;;x,,,,,,,,
EVTDESCCOURTE.6924;You start hearing jumpy, though tragic Gitara music. You hardly understand what song is about in essence because of a language barrier, but you are somehow managing to grab individual phrases. Song is speaking of the Deer, a primordial deity of some kind. Deer is depicted running through the empty city, bringing the people to the other world, where both existing and not existing live. The Point-of-View character longs for the deer, whishes him to come back and take him to that world. You are not sure about the true meaning of this Ballad.;;;;;;;;;x,,,,,,,,
EVTOPTACOURTE.6924;Amazing song, my friend, You well earned your payment!;;;;;;;;;x,,,,,,,,
EVTOPTBCOURTE.6924;Heretic! Heathen!! Guards, arrest him, NOW!!;;;;;;;;;x,,,,,,,,
EVTOPTCCOURTE.6924;Truly astounding! Would you mind staying here for a bit longer for an extra pay?;;;;;;;;;x,,,,,,,,
EVTNAMECOURTE.6925;Ballad about Time.;;;;;;;;;x,,,,,,,,
EVTDESCCOURTE.6925;Bard takes his Gitara and starts to play melodic and slow lyrics-heavy ballad. At first you cant fully grasp the sense of the piece, but you understand certain phrases and idioms. You hear of a long-abandoned castle, speaking up about jousts, sieges and archery that happened in the time long past. It speaks of steel, shattering from the sword impact, bowstring, smoking from tension and The Death itself, sitting on the armies' spears. About True Love and High Treason. The Main character of the song asks you of perpetual validity of such concepts as Love, Evil and Good. The ballad then sings about the time itself, and how even in a days old gone there where always some constant, unchanging concepts. You are staring to thing this ballad might be a moral testament of pre-deluge Rodina...;;;;;;;;;x,,,,,,,,
EVTOPTACOURTE.6925;Amazing song, my friend, You well earned your payment!;;;;;;;;;x,,,,,,,,
EVTOPTBCOURTE.6925;Heretic! Heathen!! Guards, arrest him, NOW!!;;;;;;;;;x,,,,,,,,
EVTOPTCCOURTE.6925;Truly astounding! Would you mind staying here for a bit longer for an extra pay?;;;;;;;;;x,,,,,,,,
EVTDESCCOURTE.693;After a long conversation on the matter, the Bard agrees to relocate to your demesne and provide help to your cause by researching local populaces culture and documenting it.;;;;;;;;;x,,,,,,,,
EVTOPTACOURTE.693;Hope you will serve me well.;;;;;;;;;x,,,,,,,,
EVTDESCCOURTE.694;After a long conversation on the matter, the Bard agrees to relocate to your demesne and provide help to your cause by aiding you in diplomatic affairs.;;;;;;;;;x,,,,,,,,
EVTOPTACOURTE.694;Hope you will serve me well.;;;;;;;;;x,,,,,,,,
EVTDESCCOURTE.695;After a long conversation on the matter, the Bard agrees to relocate to your demesne and provide help to your cause by becoming a commander and training your levies to become like the armies from the legends about old Russia.;;;;;;;;;x,,,,,,,,
EVTDESCCOURTE.696;Recently you have gained a new hobby- writing and reciting poems you have learned from books and oral sources. But when you attended a circle of like minded people, they all seemed to be more interested in researching and preserving oral traditions of your land. At first you were skeptical, but with time you learned a lot of this so-called Bards and their deeds, growing more and more interested and eventually you decided to try learning Old Russian yourself.;;;;;;;;;x,,,,,,,,
EVTOPTACOURTE.696;I am a Bard now!;;;;;;;;;x,,,,,,,,
im_a_bard_now;You will start researching cultural heritage of Old Rodina;;;;;;;;;x,,,,,,,,

