From;To;Type;Through;-1;-1;-1;-1;Comment
2827;2826;major_river;4070;-1;-1;-1;-1;Mekong
2824;2828;major_river;4069;-1;-1;-1;-1;Mekong
2828;2819;major_river;4069;-1;-1;-1;-1;Mekong
2710;2715;major_river;4029;-1;-1;-1;-1;Mekong
4150;2942;major_river;4027;-1;-1;-1;-1;Mekong
3287;3185;sea;4037;-1;-1;-1;-1;Zhujiang
3212;3223;sea;4039;-1;-1;-1;-1;Zhujiang
3222;3223;sea;4038;-1;-1;-1;-1;Zhujiang
3222;3272;sea;4037;-1;-1;-1;-1;Zhujiang
3222;3267;sea;4037;-1;-1;-1;-1;Zhujiang
3267;3232;sea;4037;-1;-1;-1;-1;Zhujiang
3233;3267;sea;4037;-1;-1;-1;-1;Zhujiang
3439;3438;sea;4037;-1;-1;-1;-1;Yangtze
3438;3441;sea;4037;-1;-1;-1;-1;Yangtze
3441;3437;sea;4037;-1;-1;-1;-1;Yangtze
3437;3446;sea;4037;-1;-1;-1;-1;Yangtze
3446;3435;sea;4038;-1;-1;-1;-1;Yangtze
3435;3447;sea;4038;-1;-1;-1;-1;Yangtze
3447;3449;sea;4038;-1;-1;-1;-1;Yangtze
3449;3448;sea;4038;-1;-1;-1;-1;Yangtze
3449;3452;sea;4038;-1;-1;-1;-1;Yangtze
3452;3451;sea;4039;-1;-1;-1;-1;Yangtze
3451;3459;sea;4039;-1;-1;-1;-1;Yangtze
3459;3460;sea;4039;-1;-1;-1;-1;Yangtze
3459;3463;sea;4039;-1;-1;-1;-1;Yangtze
3463;3464;sea;4039;-1;-1;-1;-1;Yangtze
3474;3483;sea;4041;-1;-1;-1;-1;Yangtze
3483;3475;sea;4041;-1;-1;-1;-1;Yangtze
3493;3488;sea;4043;-1;-1;-1;-1;Yangtze
3533;3542;sea;4045;-1;-1;-1;-1;Yangtze
3542;3534;sea;4045;-1;-1;-1;-1;Yangtze
3534;3546;sea;4045;-1;-1;-1;-1;Yangtze
3546;3535;sea;4045;-1;-1;-1;-1;Yangtze
3535;3547;sea;4045;-1;-1;-1;-1;Yangtze
3535;3536;sea;4045;-1;-1;-1;-1;Yangtze
3536;3548;sea;4045;-1;-1;-1;-1;Yangtze
3659;3656;sea;4046;-1;-1;-1;-1;Xinyi
3656;3665;sea;4046;-1;-1;-1;-1;Xinyi
3511;3652;sea;4047;-1;-1;-1;-1;Xinyi
3514;3510;sea;4049;-1;-1;-1;-1;Xinyi
3518;3521;major_river;4050;-1;-1;-1;-1;Huanghe
